chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NES_E_S_1	NES_E_S_2	NES_E_S_3	NES_E_S_4
chr1	  8622488	  8622508	chr1-51492	    2.20	+			Other|unannotated	Other	Other	2	8.562464e-06	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	4	0	0	2.070822e-06	3.541208e-06
chr1	  8883488	  8883508	chr1-6504	   19.00	-	ENSG00000201725	RNU6-304P	snRNA	snRNA	ncRNA	1	6.733948e-05	0	0	0	0	1	1	0	0	0	0	1	1	2	2	1	0	9	0	0	4.141644e-06	7.082416e-06
chr1	  9100504	  9100524	chr1-14459	    5.29	-	ENSG00000180758	GPR157	3'UTR	3'UTR	3'UTR	1	4.877565e-05	0	2	1	2	1	1	0	0	0	2	0	0	0	2	0	0	11	2.614037e-05	1.312112e-05	0	0
chr1	  9103101	  9103121	chr1-13032	    7.49	+			TE|unannotated	TE	TE	2	4.095147e-05	0	0	0	1	1	1	0	1	0	0	0	2	0	2	1	2	11	0	0	4.141644e-06	1.770604e-06
chr1	 10180315	 10180335	chr1-1181	   30.80	+	ENSG00000130939	UBE4B	3'UTR	3'UTR	3'UTR	1	0.0002190362	2	3	3	3	1	1	1	1	1	3	1	0	0	2	0	3	25	2.614037e-05	2.624224e-05	0	0
chr1	 10298999	 10299019	chr1-483	   44.10	+	ENSG00000054523	KIF1B	downstream 10K|intron|snRNA	snRNA	ncRNA	3	0.0002230035	3	3	3	1	1	2	2	1	1	4	2	2	2	2	0	1	30	0	0	2.070822e-05	5.311812e-06
chr1	 10587905	 10587925	chr1-1656	   32.60	-			unannotated	UnAn	UnAn	1	0.0004629832	1	0	2	1	1	1	1	1	0	1	2	2	0	2	4	3	22	0	0	4.141644e-06	5.311812e-06
chr1	 11152373	 11152393	chr1-2689	   18.10	+	ENSG00000253086	RNU6-537P	snRNA	snRNA	ncRNA	1	6.438321e-05	0	0	2	0	2	2	0	1	0	2	1	1	0	2	1	0	14	0	0	4.141644e-06	5.311812e-06
chr1	 12928920	 12928940	chr1-1754	   27.80	+			downstream 10K|Other	Other	Other	2	0.0005752973	1	1	1	0	1	1	0	0	0	1	2	1	0	2	3	4	18	0	0	6.212466e-06	7.082416e-06
chr1	 13272855	 13272875	chr1-1639	   26.40	-			downstream 10K	DS10K	DS10K	1	0.0004112	0	1	0	1	1	1	0	0	0	2	1	1	0	2	3	3	16	0	0	4.141644e-06	7.082416e-06
chr1	 15632918	 15632938	chr1-3789	   16.30	-			TE|unannotated	TE	TE	2	0.000316495	0	0	0	1	1	1	0	0	0	2	1	1	0	2	3	4	16	0	0	2.070822e-06	7.082416e-06
chr1	 15632923	 15632943	chr1-22843	    3.53	+	ENSG00000197312	DDI2	intron|CDS_Retained_intron	CDS_RI	intron	2	2.113417e-05	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	1	6	0	0	2.070822e-06	1.770604e-06
chr1	 16341608	 16341628	chr1-21158	    3.97	+			TE|unannotated	TE	TE	2	1.674832e-05	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	1	6	0	0	2.070822e-06	1.770604e-06
chr1	 16514253	 16514273	chr1-623	   77.10	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0008492157	3	3	1	3	2	2	2	2	3	3	4	4	2	2	4	3	43	0	0	1.035411e-05	1.062362e-05
chr1	 16666816	 16666836	chr1-1430	   26.40	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0001127572	2	2	1	2	2	2	2	1	2	1	3	3	1	2	0	2	28	0	0	4.141644e-06	1.770604e-06
chr1	 16666916	 16666936	chr1-593	   70.50	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0005754198	3	3	3	3	2	2	2	1	3	3	4	4	3	3	1	2	42	2.614037e-05	0	8.283288e-06	8.85302e-06
chr1	 16740528	 16740548	chr1-566	   81.50	+	ENSG00000058453	CROCC	intron|lncRNA|snRNA	lncRNA	ncRNA	3	0.0007500836	3	3	1	3	2	2	2	1	2	4	4	4	2	3	2	3	41	5.228075e-05	0	8.283288e-06	1.062362e-05
chr1	 16740620	 16740640	chr1-1240	   34.40	+	ENSG00000058453	CROCC	intron|lncRNA|snRNA	lncRNA	ncRNA	3	0.0001189605	3	3	0	1	2	2	0	1	1	3	1	3	1	2	0	1	24	0	0	6.212466e-06	5.311812e-06
chr1	 16895993	 16896013	chr1-781	   75.40	+	ENSG00000058453	CROCC	intron|snRNA	snRNA	ncRNA	2	0.0004283245	3	3	2	2	2	2	2	2	2	3	4	4	0	3	2	2	38	0	2.624224e-05	8.283288e-06	8.85302e-06
chr1	 16896094	 16896114	chr1-1490	   30.80	+	ENSG00000058453	CROCC	intron|snRNA	snRNA	ncRNA	2	0.0001296282	3	2	2	1	2	2	1	0	2	2	2	3	1	3	1	1	28	0	1.312112e-05	4.141644e-06	7.082416e-06
chr1	 18512191	 18512211	chr1-13880	    6.61	+			Other	Other	Other	1	2.700726e-05	1	0	1	0	1	1	0	0	0	1	0	1	0	2	0	3	11	0	0	2.070822e-06	3.541208e-06
chr1	 18906588	 18906608	chr1-6401	   11.90	-	ENSG00000169991	IFFO2	3'UTR	3'UTR	3'UTR	1	6.058855e-05	0	3	1	3	0	2	0	0	1	2	0	0	0	2	0	1	15	2.614037e-05	1.312112e-05	0	0
chr1	 19338860	 19338880	chr1-54	  224.30	-	ENSG00000077549	CAPZB	3'UTR	3'UTR	3'UTR	1	0.0006258018	3	3	3	3	1	2	0	1	3	4	1	2	0	2	1	4	33	0	0	2.070822e-06	8.85302e-06
chr1	 20743125	 20743145	chr1-4107	   13.20	-	ENSG00000127483	HP1BP3	3'UTR	3'UTR	3'UTR	1	3.691973e-05	1	3	3	3	1	1	0	0	0	2	0	0	0	2	1	2	19	0	0	2.070822e-06	1.770604e-06
chr1	 20744047	 20744067	chr1-10030	    6.17	-	ENSG00000127483	HP1BP3	3'UTR|intron	3'UTR	3'UTR	2	6.540697e-05	1	2	2	3	0	1	0	0	1	0	0	0	0	2	0	1	13	2.614037e-05	1.312112e-05	0	0
chr1	 20806967	 20806987	chr1-512	   79.80	-	ENSG00000075151	EIF4G3	3'UTR	3'UTR	3'UTR	1	0.0003644247	2	3	3	3	2	1	1	1	1	4	2	2	1	3	1	4	34	2.614037e-05	3.936336e-05	4.141644e-06	0
chr1	 21798923	 21798943	chr1-38342	    3.53	-			TE|unannotated	TE	TE	2	2.599822e-05	0	0	0	0	1	1	1	0	0	1	1	0	0	2	0	0	7	0	0	2.070822e-06	1.770604e-06
chr1	 22069612	 22069632	chr1-30296	    3.08	-			TE	TE	TE	1	1.413354e-05	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	1	6	0	0	2.070822e-06	1.770604e-06
chr1	 22091811	 22091831	chr1-4	 1036.60	+	ENSG00000070831	CDC42	3'UTR|Other	3'UTR	3'UTR	2	0.00333069	3	3	3	3	2	2	2	2	2	4	2	4	2	4	4	6	48	0.0001307019	0.000104969	5.384138e-05	3.364148e-05
chr1	 22092008	 22092028	chr1-526	   48.50	+	ENSG00000070831	CDC42	3'UTR	3'UTR	3'UTR	1	0.0003458789	2	3	3	3	2	2	1	1	2	4	2	1	0	2	3	5	36	5.228075e-05	1.312112e-05	0	0
chr1	 23083656	 23083676	chr1-235	   84.60	+	ENSG00000004487	KDM1A	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001955414	2	3	3	3	2	2	0	0	2	4	0	1	0	2	2	2	28	0	1.312112e-05	0	1.770604e-06
chr1	 24536829	 24536849	chr1-313	   75.40	+	ENSG00000117602	RCAN3	3'UTR	3'UTR	3'UTR	1	0.0002549734	2	3	3	3	1	1	1	1	1	3	0	1	1	2	1	3	27	2.614037e-05	1.312112e-05	0	0
chr1	 24672896	 24672916	chr1-738	   56.40	+	ENSG00000133226	SRRM1	3'UTR	3'UTR	3'UTR	1	0.0002829841	2	3	3	3	2	2	1	1	2	3	4	3	1	2	1	2	35	0	1.312112e-05	6.212466e-06	0
chr1	 24672984	 24673004	chr1-12	  415.60	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.001487854	3	3	3	3	2	2	2	2	3	4	4	3	3	3	3	6	49	0	1.312112e-05	6.212466e-06	8.85302e-06
chr1	 24842715	 24842735	chr1-730	   37.50	+	ENSG00000169504	CLIC4	3'UTR|intron	3'UTR	3'UTR	2	0.0004983933	2	3	3	3	2	2	1	1	2	4	2	0	1	2	2	5	35	5.228075e-05	1.312112e-05	0	0
chr1	 25412712	 25412732	chr1-3958	   15.40	+			TE|unannotated	TE	TE	2	6.961707e-05	0	1	0	1	1	1	0	0	0	1	1	1	0	2	2	2	13	0	0	6.212466e-06	1.770604e-06
chr1	 25900841	 25900861	chr1-554	   60.80	-	ENSG00000117632	STMN1	3'UTR|intron	3'UTR	3'UTR	2	0.0001570891	0	3	3	3	2	2	1	0	1	3	1	0	0	2	0	3	24	0	1.312112e-05	0	3.541208e-06
chr1	 26206460	 26206480	chr1-9372	    9.70	-			unannotated	UnAn	UnAn	1	3.181001e-05	0	2	2	3	0	2	1	1	0	0	0	0	0	2	0	0	13	0	1.312112e-05	2.070822e-06	0
chr1	 26428542	 26428562	chr1-47604	    3.08	-			TE|unannotated	TE	TE	2	9.998111e-06	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	2	6	0	0	2.070822e-06	1.770604e-06
chr1	 26475252	 26475272	chr1-3	 1345.50	+	ENSG00000198830	HMGN2	3'UTR|Other	3'UTR	3'UTR	2	0.004038086	3	3	3	3	2	2	2	2	3	4	4	3	2	4	4	7	51	2.614037e-05	2.624224e-05	2.070822e-06	2.124725e-05
chr1	 26781865	 26781885	chr1-33	  261.30	+	ENSG00000117713	ARID1A	3'UTR	3'UTR	3'UTR	1	0.0008415737	3	3	3	3	2	2	2	2	2	4	3	2	1	2	2	6	42	2.614037e-05	2.624224e-05	0	0
chr1	 26782015	 26782035	chr1-2784	   18.50	+	ENSG00000117713	ARID1A	3'UTR	3'UTR	3'UTR	1	6.04002e-05	0	3	3	3	1	1	0	0	0	3	0	0	0	2	0	0	16	2.614037e-05	0	2.070822e-06	0
chr1	 27325250	 27325270	chr1-1369	   22.90	+	ENSG00000186501	TMEM222	intron|snRNA	snRNA	ncRNA	2	8.100667e-05	0	2	1	0	2	2	0	1	2	1	2	2	0	2	1	0	18	0	0	6.212466e-06	8.85302e-06
chr1	 27916104	 27916124	chr1-2561	   35.70	-				UnAn	UnAn	0	0.0001068465	1	2	2	2	1	2	1	2	1	0	2	2	0	2	2	1	23	0	0	8.283288e-06	3.541208e-06
chr1	 28497200	 28497220	chr1-279	  121.20	+	ENSG00000204138	PHACTR4	3'UTR	3'UTR	3'UTR	1	0.0003294766	3	3	3	3	1	2	1	1	3	3	0	1	0	2	2	2	30	0	1.312112e-05	0	1.770604e-06
chr1	 28507544	 28507564	chr1-1306	  142.80	+	ENSG00000180198	RCC1	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0007232589	3	3	3	2	2	2	2	2	3	4	4	3	2	3	2	3	43	5.228075e-05	0	4.141644e-06	1.770604e-06
chr1	 28508735	 28508755	chr1-2676	   62.60	+	ENSG00000180198	RCC1	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0005036896	3	3	3	1	2	2	2	2	1	4	3	2	2	2	2	0	34	5.228075e-05	2.624224e-05	0	0
chr1	 28578772	 28578792	chr1-250	  172.80	-	ENSG00000197989	SNHG12	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0006485417	3	3	1	0	2	2	2	2	2	4	3	2	1	3	2	1	33	2.614037e-05	0	1.449575e-05	7.082416e-06
chr1	 30935695	 30935715	chr1-350	  249.90	-	ENSG00000134644	PUM1	downstream 10K|intron	intron	intron	2	0.0007181744	3	3	1	1	2	2	2	2	2	2	3	3	2	4	2	2	36	2.614037e-05	1.312112e-05	3.313315e-05	1.947664e-05
chr1	 30949124	 30949144	chr1-336	  249.00	-	ENSG00000134644	PUM1	downstream 10K|intron	intron	intron	2	0.0006576986	3	3	1	0	2	2	2	1	2	2	3	2	2	3	2	1	31	2.614037e-05	0	2.692069e-05	1.239423e-05
chr1	 30968181	 30968201	chr1-1943	   34.80	-	ENSG00000134644	PUM1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0001242634	3	3	1	0	2	2	1	1	2	2	3	0	1	2	1	0	24	2.614037e-05	0	4.141644e-06	0
chr1	 31012506	 31012526	chr1-1314	   28.20	-	ENSG00000134644	PUM1	intron	intron	intron	1	0.0001634537	3	3	3	3	2	2	2	2	0	4	0	3	0	2	1	0	30	0	1.312112e-05	0	1.770604e-06
chr1	 31259792	 31259812	chr1-163	  167.50	-	ENSG00000060688	SNRNP40	3'UTR	3'UTR	3'UTR	1	0.0007094278	3	3	3	3	2	2	2	1	2	4	2	4	0	2	3	5	41	2.614037e-05	0	4.141644e-06	0
chr1	 31497642	 31497662	chr1-3916	   15.90	-	ENSG00000206981	RNU6-40P	snRNA	snRNA	ncRNA	1	6.43053e-05	1	1	2	0	1	2	1	1	0	0	2	2	0	2	2	0	17	0	0	4.141644e-06	1.770604e-06
chr1	 31907984	 31908004	chr1-50	  237.10	-	ENSG00000184007	PTP4A2	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.0007516928	3	3	3	3	2	2	2	1	2	4	0	1	1	3	3	6	39	2.614037e-05	2.624224e-05	0	1.770604e-06
chr1	 32066072	 32066092	chr1-26886	    3.08	+			TE	TE	TE	1	1.188233e-05	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	1	5	0	0	4.141644e-06	3.541208e-06
chr1	 32333899	 32333919	chr1-7	  915.80	-	ENSG00000175130	MARCKSL1	3'UTR	3'UTR	3'UTR	1	0.002310796	3	3	3	3	2	2	2	2	1	4	2	3	1	3	2	5	41	0	2.624224e-05	2.070822e-06	1.770604e-06
chr1	 32454334	 32454354	chr1-10517	    7.93	+				UnAn	UnAn	0	5.474063e-05	2	1	3	2	2	1	1	0	0	1	0	0	0	2	0	0	15	2.614037e-05	1.312112e-05	0	0
chr1	 32680371	 32680391	chr1-38	  279.90	+	ENSG00000162521	RBBP4	3'UTR|intron|Other	3'UTR	3'UTR	3	0.001022869	3	3	3	3	2	2	1	2	3	4	1	3	1	3	4	4	42	2.614037e-05	2.624224e-05	0	1.770604e-06
chr1	 35183662	 35183682	chr1-138	  250.80	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.0007289485	3	3	3	3	2	2	2	1	3	3	1	2	1	3	3	5	40	2.614037e-05	2.624224e-05	0	1.770604e-06
chr1	 35184134	 35184154	chr1-6	 1494.00	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.004374837	3	3	3	3	2	2	2	2	2	4	4	3	2	4	4	6	49	7.842112e-05	1.312112e-05	2.070822e-06	2.301785e-05
chr1	 35184222	 35184242	chr1-11	  642.60	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.002480825	3	3	3	3	2	2	2	2	2	4	3	4	2	2	4	6	47	0	2.624224e-05	0	1.770604e-06
chr1	 35184330	 35184350	chr1-79	  312.00	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.001463271	3	3	3	3	2	2	2	1	3	5	2	3	2	3	3	7	47	2.614037e-05	3.936336e-05	0	1.770604e-06
chr1	 35274617	 35274637	chr1-3499	   13.70	+	ENSG00000146463	ZMYM4	intron|TE	TE	TE	2	5.027587e-05	0	2	1	3	1	1	0	0	0	1	2	1	0	2	2	2	18	0	0	2.070822e-06	1.770604e-06
chr1	 35636383	 35636403	chr1-24421	    4.85	-	ENSG00000126067	PSMB2	CDS	CDS	CDS	1	3.797666e-05	0	1	1	2	2	2	0	0	0	0	0	0	0	2	1	0	11	2.614037e-05	0	0	1.770604e-06
chr1	 35926957	 35926977	chr1-133	  212.40	+	ENSG00000092847	AGO1	3'UTR|Other	3'UTR	3'UTR	2	0.0008124525	3	3	3	3	2	2	1	2	2	3	0	2	1	2	3	4	36	0	1.312112e-05	0	1.593544e-05
chr1	 36057060	 36057080	chr1-11042	    6.61	+	ENSG00000126070	AGO3	3'UTR	3'UTR	3'UTR	1	1.794358e-05	1	2	1	1	0	1	1	0	0	1	0	1	0	2	0	1	12	0	0	4.141644e-06	1.770604e-06
chr1	 36304463	 36304483	chr1-128	  131.30	+	ENSG00000054118	THRAP3	3'UTR|CDS|intron|Other	3'UTR	3'UTR	4	0.0004513035	3	3	3	3	2	2	1	1	2	3	3	1	0	2	2	6	37	0	1.312112e-05	1.035411e-05	0
chr1	 36305033	 36305053	chr1-151	  121.60	+	ENSG00000054118	THRAP3	3'UTR	3'UTR	3'UTR	1	0.0004815188	3	3	3	3	2	2	1	1	2	3	2	3	0	2	3	4	37	2.614037e-05	0	0	1.770604e-06
chr1	 37983255	 37983275	chr1-12493	    5.73	+			Other	Other	Other	1	2.323913e-05	0	0	0	0	1	1	0	0	0	1	0	0	0	2	1	2	8	0	0	4.141644e-06	5.311812e-06
chr1	 40347251	 40347271	chr1-35208	    2.64	-			TE|unannotated	TE	TE	2	1.410475e-05	0	0	1	0	1	1	1	0	0	0	0	0	0	2	0	0	6	0	0	2.070822e-06	1.770604e-06
chr1	 40494257	 40494277	chr1-22796	    3.97	-	ENSG00000238287	EXO5-DT	intron|TE|lncRNA	lncRNA	ncRNA	3	1.54039e-05	0	0	0	0	1	1	0	0	0	0	1	1	0	2	1	0	7	0	0	4.141644e-06	1.770604e-06
chr1	 40771190	 40771210	chr1-1890	   20.30	+	ENSG00000066136	NFYC	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	9.729515e-05	1	3	3	3	1	1	0	0	1	2	0	0	0	2	0	1	18	2.614037e-05	1.312112e-05	0	0
chr1	 41164347	 41164367	chr1-715	   51.10	-	ENSG00000010803	SCMH1	intron	intron	intron	1	0.0001324575	3	3	3	3	2	1	1	0	0	2	0	0	0	2	1	1	22	2.614037e-05	0	0	8.85302e-06
chr1	 42702128	 42702148	chr1-450	  114.10	+	ENSG00000065978	YBX1	3'UTR	3'UTR	3'UTR	1	0.0003047986	2	2	3	3	2	1	1	0	1	3	0	1	1	3	2	2	27	2.614037e-05	1.312112e-05	0	1.770604e-06
chr1	 43622484	 43622504	chr1-80	  202.70	+	ENSG00000142949	PTPRF	3'UTR	3'UTR	3'UTR	1	0.0007899235	3	3	3	3	2	2	2	2	2	3	0	2	1	3	0	5	36	2.614037e-05	2.624224e-05	0	1.770604e-06
chr1	 43716496	 43716516	chr1-3743	   16.70	+	ENSG00000126091	ST3GAL3	intron|snRNA|CDS_Retained_intron	snRNA	ncRNA	3	3.557607e-05	1	1	1	2	1	2	0	0	1	0	1	1	0	2	0	0	13	0	0	8.283288e-06	3.541208e-06
chr1	 44775898	 44775918	chr1-1411	   78.00	+	ENSG00000142937	RPS8	downstream 10K|intron|snoRNA	snoRNA	snoRNA	3	0.0002543871	3	3	0	1	2	2	2	1	2	3	2	2	0	2	0	0	25	0	0	6.212466e-06	3.541208e-06
chr1	 44777873	 44777893	chr1-776	   71.00	+	ENSG00000142937	RPS8	intron|snoRNA	snoRNA	snoRNA	2	0.0004497079	3	3	2	0	2	1	1	1	1	2	2	2	1	2	2	1	26	0	0	4.141644e-06	5.311812e-06
chr1	 44778421	 44778441	chr1-186	  197.40	+	ENSG00000142937	RPS8	intron|snoRNA	snoRNA	snoRNA	2	0.001137758	3	3	1	3	2	2	2	2	4	5	4	4	3	4	1	2	45	2.614037e-05	1.312112e-05	4.141644e-05	1.062362e-05
chr1	 45597320	 45597340	chr1-3560	   12.30	+	ENSG00000132780	NASP	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	3.696132e-05	3	2	3	1	2	0	0	1	0	1	0	1	0	2	1	0	17	0	0	2.070822e-06	1.770604e-06
chr1	 45627697	 45627717	chr1-34	  406.30	-	ENSG00000159592	GPBP1L1	3'UTR	3'UTR	3'UTR	1	0.001442155	3	3	3	3	2	2	1	2	1	4	2	4	3	3	2	6	44	2.614037e-05	1.312112e-05	2.070822e-06	0
chr1	 45660815	 45660835	chr1-75	  218.20	-	ENSG00000159592	GPBP1L1	5'UTR	5'UTR	5'UTR	1	0.0007380966	3	3	3	3	2	2	2	1	2	5	2	1	1	2	2	5	39	5.228075e-05	0	0	3.541208e-06
chr1	 46676798	 46676818	chr1-1082	   28.60	-	ENSG00000159658	EFCAB14	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0001005011	1	3	3	3	1	2	1	1	1	3	1	0	0	2	0	3	25	0	1.312112e-05	0	8.85302e-06
chr1	 47376903	 47376923	chr1-15	  608.20	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.001818326	3	3	3	3	2	2	2	1	3	5	2	2	3	3	3	5	45	2.614037e-05	1.312112e-05	0	3.541208e-06
chr1	 47377615	 47377635	chr1-26	  325.70	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.000971491	3	3	3	3	2	2	2	2	1	5	1	3	0	3	3	4	40	0	2.624224e-05	2.070822e-06	3.541208e-06
chr1	 47377954	 47377974	chr1-188	   93.00	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.000338115	3	3	3	3	2	2	2	1	2	3	1	0	0	2	1	3	31	5.228075e-05	1.312112e-05	0	0
chr1	 50550354	 50550374	chr1-35916	    2.64	+			TE|unannotated	TE	TE	2	1.157455e-05	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	5	0	0	2.070822e-06	1.770604e-06
chr1	 51272672	 51272692	chr1-3831	   15.90	+	ENSG00000123091	RNF11	3'UTR	3'UTR	3'UTR	1	9.58176e-05	1	2	3	3	1	2	1	2	1	3	0	0	0	2	1	2	24	0	1.312112e-05	0	1.770604e-06
chr1	 53767508	 53767528	chr1-3043	   14.50	-	ENSG00000058804	NDC1	3'UTR	3'UTR	3'UTR	1	8.580546e-05	1	3	3	3	1	1	0	2	1	3	1	1	0	2	0	0	22	2.614037e-05	1.312112e-05	0	0
chr1	 56709114	 56709134	chr1-693	   38.80	+	ENSG00000162409	PRKAA2	3'UTR	3'UTR	3'UTR	1	0.0002385136	3	3	3	3	2	2	1	1	1	4	0	1	1	2	2	4	33	2.614037e-05	2.624224e-05	0	0
chr1	 60479789	 60479809	chr1-42541	    3.08	+			TE|unannotated	TE	TE	2	1.188209e-05	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	1	6	0	0	2.070822e-06	3.541208e-06
chr1	 60729446	 60729466	chr1-18592	    4.41	+			Other|unannotated	Other	Other	2	9.385699e-06	0	1	0	1	1	1	0	0	0	0	0	1	0	2	0	0	7	0	0	2.070822e-06	1.770604e-06
chr1	 60997767	 60997787	chr1-8846	    7.05	+	ENSG00000162599	NFIA	intron|Other	Other	Other	2	2.963083e-05	0	1	0	0	1	1	0	0	0	1	0	1	0	2	1	2	10	0	0	2.070822e-06	1.770604e-06
