chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NLS_E_S_1	NLS_E_S_2	NLS_E_S_3	NLS_E_S_4
chr1	  1391040	  1391060	chr1-748	   35.70	-	ENSG00000221978	CCNL2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0001642446	3	3	3	3	2	2	1	1	1	4	0	2	0	0	2	0	27	0	4.457619e-06	3.821994e-06	0
chr1	  1392240	  1392260	chr1-402	   77.10	-	ENSG00000221978	CCNL2	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0002296256	3	3	3	3	2	2	1	2	1	4	1	2	1	0	1	0	29	1.386943e-05	8.915238e-06	0	0
chr1	  1786784	  1786804	chr1-286	   85.10	-	ENSG00000078369	GNB1	3'UTR	3'UTR	3'UTR	1	0.0002007213	3	3	3	3	2	2	0	1	1	4	1	2	0	1	2	2	30	0	0	1.910997e-06	5.806965e-06
chr1	  2308619	  2308639	chr1-149	  119.90	+	ENSG00000157933	SKI	3'UTR	3'UTR	3'UTR	1	0.0003921727	3	3	3	3	2	2	1	1	1	3	0	2	2	1	1	3	31	1.386943e-05	0	0	2.903482e-06
chr1	  3812179	  3812199	chr1-18932	    4.41	-	ENSG00000116198	CEP104	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	1.408913e-05	0	0	0	0	2	1	1	1	1	0	0	2	0	0	0	0	8	0	4.457619e-06	1.910997e-06	0
chr1	  8012243	  8012263	chr1-122	  249.00	-	ENSG00000116285	ERRFI1	3'UTR|intron	3'UTR	3'UTR	2	0.0008644778	3	3	3	3	2	2	1	1	2	3	1	2	1	2	4	5	38	0	8.915238e-06	0	2.903482e-06
chr1	  8018404	  8018424	chr1-1000	   47.60	-	ENSG00000116285	ERRFI1	intron	intron	intron	1	0.0001148656	3	3	3	3	1	2	1	0	1	2	1	2	0	0	1	0	23	0	1.337286e-05	0	2.903482e-06
chr1	  8381604	  8381624	chr1-1102	   30.00	-	ENSG00000142599	RERE	intron	intron	intron	1	0.0001081586	3	3	3	3	1	2	1	0	2	3	2	4	0	0	1	0	28	1.386943e-05	4.457619e-06	1.910997e-06	2.903482e-06
chr1	  8381669	  8381689	chr1-6239	   13.70	-	ENSG00000142599	RERE	intron	intron	intron	1	3.137497e-05	1	2	2	3	1	2	0	0	1	2	0	2	0	0	0	0	16	0	4.457619e-06	0	2.903482e-06
chr1	  8390706	  8390726	chr1-3168	   13.20	-	ENSG00000142599	RERE	intron	intron	intron	1	3.04556e-05	1	3	3	3	2	0	1	0	1	1	0	2	0	0	0	0	17	0	4.457619e-06	1.910997e-06	0
chr1	  8452774	  8452794	chr1-33502	    2.64	-	ENSG00000142599	RERE	intron	intron	intron	1	1.903383e-05	0	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0	6	1.386943e-05	0	1.910997e-06	0
chr1	  8521172	  8521192	chr1-26574	    4.85	+			Other	Other	Other	1	2.28388e-05	1	0	0	0	1	1	0	0	0	0	0	2	0	1	2	1	9	0	0	1.910997e-06	2.903482e-06
chr1	  8526613	  8526633	chr1-1426	   21.60	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	6.062612e-05	3	3	2	3	0	1	1	0	1	3	1	2	0	0	1	0	21	0	4.457619e-06	1.910997e-06	0
chr1	  8596124	  8596144	chr1-5373	   10.60	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	4.608609e-05	3	3	2	3	1	1	0	0	1	1	1	2	0	0	0	0	18	1.386943e-05	4.457619e-06	0	0
chr1	  8744641	  8744661	chr1-1667	   28.20	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	7.234377e-05	3	3	1	3	1	1	1	0	0	1	0	3	0	0	0	0	17	1.386943e-05	4.457619e-06	1.910997e-06	0
chr1	  8751759	  8751779	chr1-159	   89.90	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0002247557	3	3	3	3	2	2	1	2	1	3	2	2	0	1	1	1	30	0	4.457619e-06	5.732992e-06	0
chr1	  8751935	  8751955	chr1-1366	   22.90	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	5.046126e-05	3	3	2	3	2	2	0	1	0	3	0	2	0	0	0	0	21	0	4.457619e-06	0	2.903482e-06
chr1	  8807742	  8807762	chr1-16014	    5.29	-	ENSG00000142599	RERE	intron	intron	intron	1	2.174591e-05	0	1	1	1	0	2	1	0	0	1	1	2	0	0	0	0	10	0	8.915238e-06	0	2.903482e-06
chr1	  9103101	  9103121	chr1-13032	    7.49	+			TE|unannotated	TE	TE	2	4.095147e-05	0	0	0	1	1	1	0	1	0	0	0	2	0	2	1	2	11	0	0	1.910997e-06	2.903482e-06
chr1	  9560772	  9560792	chr1-2355	   17.20	+	ENSG00000171612	SLC25A33	intron	intron	intron	1	3.991381e-05	3	3	2	3	0	2	0	0	0	1	0	2	0	0	0	0	16	0	4.457619e-06	1.910997e-06	0
chr1	  9730072	  9730092	chr1-61	  297.00	-	ENSG00000171603	CLSTN1	3'UTR	3'UTR	3'UTR	1	0.001176855	3	3	3	3	2	2	2	1	2	4	1	2	2	1	3	5	39	1.386943e-05	8.915238e-06	0	0
chr1	  9829480	  9829500	chr1-3851	   15.40	+			Other|unannotated	Other	Other	2	0.0001164288	0	0	1	0	1	1	0	0	0	2	2	2	0	1	2	2	14	0	0	3.821994e-06	2.903482e-06
chr1	 10180557	 10180577	chr1-62	  183.30	+	ENSG00000130939	UBE4B	3'UTR	3'UTR	3'UTR	1	0.0005974215	3	3	3	3	2	2	2	1	2	3	1	3	0	1	2	5	36	1.386943e-05	8.915238e-06	0	8.710447e-06
chr1	 10298999	 10299019	chr1-483	   44.10	+	ENSG00000054523	KIF1B	downstream 10K|intron|snRNA	snRNA	ncRNA	3	0.0002230035	3	3	3	1	1	2	2	1	1	4	2	2	2	2	0	1	30	0	0	1.910997e-05	1.161393e-05
chr1	 10353349	 10353369	chr1-5804	   10.10	+	ENSG00000054523	KIF1B	intron|CDS_Retained_intron	CDS_RI	intron	2	5.775174e-05	3	1	2	3	1	2	1	0	0	1	0	2	0	1	0	0	17	0	4.457619e-06	1.910997e-06	0
chr1	 10459713	 10459733	chr1-116	  120.80	-	ENSG00000160049	DFFA	3'UTR	3'UTR	3'UTR	1	0.0004525232	3	3	3	3	1	2	1	1	1	3	0	2	1	0	3	4	31	0	0	7.643989e-06	1.161393e-05
chr1	 10523824	 10523844	chr1-14049	    5.29	+	ENSG00000142655	PEX14	intron|Other|CDS_Retained_intron	Other	Other	3	1.566548e-05	0	0	0	0	1	1	0	0	0	0	1	2	0	1	1	1	8	0	0	3.821994e-06	2.903482e-06
chr1	 10587905	 10587925	chr1-1656	   32.60	-			unannotated	UnAn	UnAn	1	0.0004629832	1	0	2	1	1	1	1	1	0	1	2	2	0	2	4	3	22	0	0	1.910997e-06	2.903482e-06
chr1	 11808050	 11808070	chr1-3105	   15.00	+	ENSG00000011021	CLCN6	intron	intron	intron	1	4.281684e-05	2	3	0	2	1	2	0	0	1	3	0	2	0	0	0	0	16	1.386943e-05	0	0	2.903482e-06
chr1	 13570358	 13570378	chr1-25944	    3.97	-			unannotated	UnAn	UnAn	1	2.164609e-05	0	0	1	2	1	0	1	0	0	0	0	2	0	0	0	0	7	1.386943e-05	0	1.910997e-06	0
chr1	 15970351	 15970371	chr1-3820	   13.20	-	ENSG00000116809	ZBTB17	intron	intron	intron	1	5.171814e-05	2	3	1	3	1	1	0	1	1	2	0	3	0	0	0	0	18	1.386943e-05	8.915238e-06	0	5.806965e-06
chr1	 16124378	 16124398	chr1-98	  167.90	-	ENSG00000142627	EPHA2	3'UTR	3'UTR	3'UTR	1	0.0009334687	3	3	3	3	2	2	2	2	3	4	1	2	2	0	5	4	41	0	4.457619e-06	3.821994e-06	0
chr1	 16514150	 16514170	chr1-1617	   28.20	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0001171972	3	3	1	2	2	2	1	0	0	2	3	4	0	1	0	2	26	1.386943e-05	8.915238e-06	1.528798e-05	2.903482e-06
chr1	 16514253	 16514273	chr1-623	   77.10	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0008492157	3	3	1	3	2	2	2	2	3	3	4	4	2	2	4	3	43	2.773887e-05	4.011857e-05	9.554986e-06	1.451741e-05
chr1	 16666816	 16666836	chr1-1430	   26.40	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0001127572	2	2	1	2	2	2	2	1	2	1	3	3	1	2	0	2	28	0	4.457619e-06	5.732992e-06	2.903482e-06
chr1	 16666916	 16666936	chr1-593	   70.50	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0005754198	3	3	3	3	2	2	2	1	3	3	4	4	3	3	1	2	42	1.386943e-05	5.794905e-05	1.528798e-05	1.451741e-05
chr1	 16684756	 16684776	chr1-685	   43.60	-	ENSG00000280114		intron	intron	intron	1	0.0001092196	0	3	3	3	2	2	1	2	1	3	0	3	0	0	1	0	24	0	4.457619e-06	3.821994e-06	2.903482e-06
chr1	 16740528	 16740548	chr1-566	   81.50	+	ENSG00000058453	CROCC	intron|lncRNA|snRNA	lncRNA	ncRNA	3	0.0007500836	3	3	1	3	2	2	2	1	2	4	4	4	2	3	2	3	41	4.16083e-05	1.337286e-05	1.528798e-05	2.032438e-05
chr1	 16740620	 16740640	chr1-1240	   34.40	+	ENSG00000058453	CROCC	intron|lncRNA|snRNA	lncRNA	ncRNA	3	0.0001189605	3	3	0	1	2	2	0	1	1	3	1	3	1	2	0	1	24	0	4.457619e-06	7.643989e-06	5.806965e-06
chr1	 16895993	 16896013	chr1-781	   75.40	+	ENSG00000058453	CROCC	intron|snRNA	snRNA	ncRNA	2	0.0004283245	3	3	2	2	2	2	2	2	2	3	4	4	0	3	2	2	38	1.386943e-05	4.457619e-06	1.719897e-05	1.451741e-05
chr1	 16896094	 16896114	chr1-1490	   30.80	+	ENSG00000058453	CROCC	intron|snRNA	snRNA	ncRNA	2	0.0001296282	3	2	2	1	2	2	1	0	2	2	2	3	1	3	1	1	28	0	4.457619e-06	3.821994e-06	2.903482e-06
chr1	 17009391	 17009411	chr1-20425	    5.29	-	ENSG00000159363	ATP13A2	downstream 10K|intron|TE	TE	TE	3	0.0001062537	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	2	7	0	0	1.910997e-06	2.903482e-06
chr1	 17408858	 17408878	chr1-316	   92.50	-	ENSG00000179051	RCC2	3'UTR|intron	3'UTR	3'UTR	2	0.0003384223	3	3	3	3	2	2	1	1	0	4	1	2	2	0	3	3	33	0	0	1.910997e-06	2.903482e-06
chr1	 19338860	 19338880	chr1-54	  224.30	-	ENSG00000077549	CAPZB	3'UTR	3'UTR	3'UTR	1	0.0006258018	3	3	3	3	1	2	0	1	3	4	1	2	0	2	1	4	33	0	0	3.821994e-06	5.806965e-06
chr1	 19559306	 19559326	chr1-49425	    2.20	+	ENSG00000173436	MICOS10	intron	intron	intron	1	2.031303e-05	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	5	1.386943e-05	4.457619e-06	0	0
chr1	 20483109	 20483129	chr1-44	  199.20	-	ENSG00000162545	CAMK2N1	3'UTR	3'UTR	3'UTR	1	0.0007424832	3	3	3	3	2	2	2	0	1	3	0	3	1	1	2	4	33	0	4.457619e-06	1.910997e-06	5.806965e-06
chr1	 20806967	 20806987	chr1-512	   79.80	-	ENSG00000075151	EIF4G3	3'UTR	3'UTR	3'UTR	1	0.0003644247	2	3	3	3	2	1	1	1	1	4	2	2	1	3	1	4	34	0	8.915238e-06	0	2.903482e-06
chr1	 20807037	 20807057	chr1-253	   74.90	-	ENSG00000075151	EIF4G3	3'UTR	3'UTR	3'UTR	1	0.0002290972	3	3	3	3	2	2	1	1	0	4	1	2	0	0	1	5	31	0	0	3.821994e-06	2.903482e-06
chr1	 20869051	 20869071	chr1-28714	    3.08	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	2.292187e-05	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	5	1.386943e-05	4.457619e-06	0	0
chr1	 20897387	 20897407	chr1-3654	   12.30	-	ENSG00000075151	EIF4G3	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	5.881154e-05	1	3	2	2	1	0	1	0	1	2	1	2	0	0	1	0	17	1.386943e-05	0	0	8.710447e-06
chr1	 20937618	 20937638	chr1-849	   44.10	-	ENSG00000075151	EIF4G3	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001059673	3	3	1	3	2	2	1	0	2	3	0	2	0	0	1	0	23	1.386943e-05	4.457619e-06	0	0
chr1	 20998773	 20998793	chr1-13674	    5.29	-	ENSG00000075151	EIF4G3	downstream 10K|intron	intron	intron	2	2.037311e-05	1	1	0	2	0	1	0	0	1	1	1	2	0	0	0	0	10	0	4.457619e-06	1.910997e-06	0
chr1	 21094106	 21094126	chr1-13630	    7.05	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	2.268443e-05	1	0	1	0	1	1	0	0	0	2	1	2	0	1	0	2	12	0	0	3.821994e-06	2.903482e-06
chr1	 21107130	 21107150	chr1-24059	    3.97	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	2.521e-05	2	1	0	2	1	1	0	0	1	0	0	2	0	0	0	0	10	1.386943e-05	4.457619e-06	0	0
chr1	 21109470	 21109490	chr1-3736	   11.90	-	ENSG00000075151	EIF4G3	intron|TE	TE	TE	2	3.720214e-05	3	2	1	3	1	1	1	1	0	2	0	2	0	0	0	1	18	0	4.457619e-06	0	2.903482e-06
chr1	 21117717	 21117737	chr1-1020	   26.00	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	7.67839e-05	3	3	2	3	2	2	0	0	2	2	1	2	0	0	0	0	22	0	8.915238e-06	1.910997e-06	0
chr1	 21131437	 21131457	chr1-1242	   27.80	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	7.82911e-05	3	3	3	3	1	1	1	0	1	1	0	2	0	1	1	0	21	0	4.457619e-06	1.337698e-05	0
chr1	 21143590	 21143610	chr1-3598	   15.00	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	5.26422e-05	3	3	1	3	2	1	1	0	0	2	1	2	0	0	0	0	19	1.386943e-05	4.457619e-06	0	0
chr1	 21145286	 21145306	chr1-722	   36.60	-	ENSG00000075151	EIF4G3	intron|TE	TE	TE	2	0.0001032814	3	3	3	3	1	1	1	0	1	3	2	2	0	0	2	0	25	0	4.457619e-06	0	2.903482e-06
chr1	 21151759	 21151779	chr1-14593	    6.61	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	3.339223e-05	3	1	1	3	0	1	0	0	0	2	0	2	0	0	0	0	13	1.386943e-05	4.457619e-06	0	0
chr1	 21172101	 21172121	chr1-76	  143.20	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	0.0003113012	3	3	3	3	2	2	1	1	2	4	2	2	0	0	1	0	29	0	4.457619e-06	1.910997e-06	0
chr1	 21753833	 21753853	chr1-38398	    3.08	+			TE|unannotated	TE	TE	2	4.498632e-05	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	6	0	0	1.910997e-06	2.903482e-06
chr1	 22091811	 22091831	chr1-4	 1036.60	+	ENSG00000070831	CDC42	3'UTR|Other	3'UTR	3'UTR	2	0.00333069	3	3	3	3	2	2	2	2	2	4	2	4	2	4	4	6	48	2.773887e-05	1.337286e-05	2.293197e-05	1.451741e-05
chr1	 23063141	 23063161	chr1-1191	   27.80	+	ENSG00000004487	KDM1A	downstream 10K|intron|Other|CDS_Retained_intron	Other	Other	4	8.30459e-05	3	3	3	3	2	1	1	0	0	3	0	3	0	0	1	0	23	1.386943e-05	8.915238e-06	0	5.806965e-06
chr1	 23070985	 23071005	chr1-23270	    4.41	+	ENSG00000004487	KDM1A	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	1.835166e-05	3	2	0	3	0	1	0	0	1	0	1	2	0	0	0	0	13	0	0	3.821994e-06	2.903482e-06
chr1	 23164969	 23164989	chr1-10442	    5.29	-	ENSG00000169641	LUZP1	intron	intron	intron	1	2.517723e-05	0	1	0	2	2	1	0	1	2	2	0	2	0	0	0	0	13	0	0	1.910997e-06	2.903482e-06
chr1	 23259684	 23259704	chr1-3911	   54.20	+			Other|unannotated	Other	Other	2	0.0001774257	0	0	0	0	2	2	1	1	2	3	3	3	1	1	2	3	24	0	4.457619e-06	5.732992e-06	2.903482e-06
chr1	 23296444	 23296464	chr1-21738	    4.41	-			downstream 10K	DS10K	DS10K	1	1.979255e-05	3	1	1	3	1	1	0	0	0	0	0	2	0	0	0	0	12	0	4.457619e-06	0	2.903482e-06
chr1	 23299610	 23299630	chr1-7537	    7.93	-			downstream 10K	DS10K	DS10K	1	2.970764e-05	2	2	2	3	0	1	0	0	0	1	0	2	0	0	0	0	13	1.386943e-05	0	1.910997e-06	0
chr1	 23306363	 23306383	chr1-459	   55.10	-	ENSG00000125944	HNRNPR	3'UTR|intron	3'UTR	3'UTR	2	0.0001942883	3	3	3	3	2	1	1	1	2	4	2	3	0	0	1	0	29	1.386943e-05	8.915238e-06	1.910997e-06	0
chr1	 23310094	 23310114	chr1-348	   78.00	-	ENSG00000125944	HNRNPR	3'UTR|intron	3'UTR	3'UTR	2	0.0002148283	2	3	3	3	2	2	0	2	1	3	0	2	1	0	1	3	28	0	4.457619e-06	0	5.806965e-06
chr1	 23698142	 23698162	chr1-35676	    2.64	+			downstream 10K	DS10K	DS10K	1	1.205409e-05	1	0	1	1	0	0	1	0	0	0	0	2	0	0	0	0	6	0	4.457619e-06	1.910997e-06	0
chr1	 23967941	 23967961	chr1-120	   99.60	-	ENSG00000188529	SRSF10	3'UTR|CDS|intron	3'UTR	3'UTR	3	0.0003244219	3	3	3	3	2	2	1	1	2	3	1	2	1	1	0	2	30	0	4.457619e-06	1.910997e-06	0
chr1	 23975433	 23975453	chr1-729	   42.30	-	ENSG00000188529	SRSF10	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0002141337	3	3	3	3	2	2	1	0	2	4	4	3	0	0	1	2	33	4.16083e-05	1.783048e-05	1.910997e-06	0
chr1	 23976945	 23976965	chr1-15985	    4.85	-	ENSG00000188529	SRSF10	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	1.616562e-05	1	0	1	1	2	1	1	0	0	0	1	2	0	0	0	0	10	0	4.457619e-06	1.910997e-06	0
chr1	 23977852	 23977872	chr1-304	   71.80	-	ENSG00000188529	SRSF10	downstream 10K|intron	intron	intron	2	0.0003574017	3	3	3	2	2	2	2	2	2	4	3	3	0	0	4	1	36	0	1.337286e-05	3.821994e-06	5.806965e-06
chr1	 24647667	 24647687	chr1-10304	    8.81	+	ENSG00000133226	SRRM1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	4.274281e-05	1	2	0	2	1	1	1	1	0	1	2	2	0	0	0	0	14	1.386943e-05	4.457619e-06	0	0
chr1	 24672896	 24672916	chr1-738	   56.40	+	ENSG00000133226	SRRM1	3'UTR	3'UTR	3'UTR	1	0.0002829841	2	3	3	3	2	2	1	1	2	3	4	3	1	2	1	2	35	2.773887e-05	8.915238e-06	1.910997e-06	0
chr1	 24672984	 24673004	chr1-12	  415.60	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.001487854	3	3	3	3	2	2	2	2	3	4	4	3	3	3	3	6	49	0	8.915238e-06	9.554986e-06	1.161393e-05
chr1	 24673200	 24673220	chr1-56	  152.50	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.0006324224	3	3	3	3	2	2	1	1	2	4	3	2	2	0	3	4	38	0	0	5.732992e-06	1.161393e-05
chr1	 24747114	 24747134	chr1-157	   93.40	+	ENSG00000169504	CLIC4	intron|Other	Other	Other	2	0.0002033212	3	3	3	3	0	2	1	2	2	3	0	2	0	0	2	1	27	0	4.457619e-06	0	2.903482e-06
chr1	 24749623	 24749643	chr1-550	   38.30	+	ENSG00000169504	CLIC4	intron	intron	intron	1	0.0002815587	3	3	3	3	1	1	1	1	1	4	2	3	0	1	2	1	30	1.386943e-05	1.337286e-05	1.910997e-06	0
chr1	 24755673	 24755693	chr1-24114	    3.97	+	ENSG00000169504	CLIC4	intron|Other	Other	Other	2	1.306169e-05	0	2	2	1	0	0	0	0	0	1	0	2	0	0	1	0	9	0	0	1.910997e-06	2.903482e-06
chr1	 24775745	 24775765	chr1-7973	    7.49	+	ENSG00000169504	CLIC4	intron	intron	intron	1	3.029838e-05	2	2	1	2	1	1	0	1	2	2	0	2	0	0	0	0	16	0	4.457619e-06	1.910997e-06	0
chr1	 24842790	 24842810	chr1-591	   72.70	+	ENSG00000169504	CLIC4	3'UTR|intron	3'UTR	3'UTR	2	0.0002922266	1	3	3	3	1	2	1	1	1	3	1	2	1	1	1	2	27	1.386943e-05	4.457619e-06	0	0
chr1	 26475252	 26475272	chr1-3	 1345.50	+	ENSG00000198830	HMGN2	3'UTR|Other	3'UTR	3'UTR	2	0.004038086	3	3	3	3	2	2	2	2	3	4	4	3	2	4	4	7	51	1.386943e-05	0	4.395294e-05	1.451741e-05
chr1	 26781052	 26781072	chr1-346	   97.40	+	ENSG00000117713	ARID1A	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0002879731	3	3	3	3	2	2	1	1	1	4	1	3	0	0	1	3	31	1.386943e-05	0	1.910997e-06	2.903482e-06
chr1	 26781865	 26781885	chr1-33	  261.30	+	ENSG00000117713	ARID1A	3'UTR	3'UTR	3'UTR	1	0.0008415737	3	3	3	3	2	2	2	2	2	4	3	2	1	2	2	6	42	1.386943e-05	0	0	2.903482e-06
chr1	 27325250	 27325270	chr1-1369	   22.90	+	ENSG00000186501	TMEM222	intron|snRNA	snRNA	ncRNA	2	8.100667e-05	0	2	1	0	2	2	0	1	2	1	2	2	0	2	1	0	18	0	0	7.643989e-06	2.903482e-06
chr1	 27404688	 27404708	chr1-2005	   22.00	-	ENSG00000158195	WASF2	3'UTR	3'UTR	3'UTR	1	7.248066e-05	2	1	3	3	1	2	0	1	1	2	0	2	0	0	0	1	19	1.386943e-05	4.457619e-06	0	0
chr1	 27822841	 27822861	chr1-9679	    7.05	+	ENSG00000117758	STX12	3'UTR	3'UTR	3'UTR	1	2.045604e-05	1	0	2	1	1	2	0	0	0	3	0	2	0	0	1	0	13	0	0	1.910997e-06	2.903482e-06
chr1	 27916104	 27916124	chr1-2561	   35.70	-				UnAn	UnAn	0	0.0001068465	1	2	2	2	1	2	1	2	1	0	2	2	0	2	2	1	23	0	4.457619e-06	5.732992e-06	0
chr1	 27974060	 27974080	chr1-219	   81.10	-	ENSG00000158161	EYA3	3'UTR	3'UTR	3'UTR	1	0.0001896593	3	3	3	3	1	2	1	1	1	2	0	2	0	0	2	1	25	0	0	3.821994e-06	5.806965e-06
chr1	 27995418	 27995438	chr1-43554	    2.20	+			TE|unannotated	TE	TE	2	7.850239e-06	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	5	0	0	1.910997e-06	2.903482e-06
chr1	 28018237	 28018257	chr1-3885	   15.90	-	ENSG00000158161	EYA3	intron	intron	intron	1	4.457138e-05	1	3	1	3	1	1	0	1	1	1	0	2	0	0	0	0	15	1.386943e-05	4.457619e-06	0	0
chr1	 28043312	 28043332	chr1-3901	   13.20	-	ENSG00000158161	EYA3	intron	intron	intron	1	3.500749e-05	2	3	3	2	0	0	1	0	0	0	0	2	0	0	0	0	13	0	0	9.554986e-06	2.903482e-06
chr1	 28416939	 28416959	chr1-13965	   11.90	+	ENSG00000204138	PHACTR4	intron|CDS_Retained_intron	CDS_RI	intron	2	2.893233e-05	3	3	2	3	2	1	0	0	0	0	0	2	0	0	0	0	16	0	0	1.910997e-06	2.903482e-06
chr1	 28440649	 28440669	chr1-3033	   13.70	+	ENSG00000204138	PHACTR4	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	5.057682e-05	3	3	3	3	1	1	1	0	1	1	1	2	0	0	0	0	20	1.386943e-05	0	1.910997e-06	0
