chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NES_E_M_1	NES_E_M_2	NES_E_M_3	NES_E_M_4
chr1	 31919439	 31919459	chr1-143	   89.50	-	ENSG00000184007	PTP4A2	5'UTR|intron|lncRNA	5'UTR	5'UTR	3	0.000589507	3	3	3	3	2	2	1	1	2	3	0	2	2	1	3	5	36	2.643335e-05	1.986373e-05	0	0
chr1	 35184134	 35184154	chr1-6	 1494.00	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.004374837	3	3	3	3	2	2	2	2	2	4	4	3	2	4	4	6	49	7.930004e-05	5.95912e-05	0	0
chr1	 35184222	 35184242	chr1-11	  642.60	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.002480825	3	3	3	3	2	2	2	2	2	4	3	4	2	2	4	6	47	5.28667e-05	3.972747e-05	0	0
chr1	 35184330	 35184350	chr1-79	  312.00	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.001463271	3	3	3	3	2	2	2	1	3	5	2	3	2	3	3	7	47	0	5.95912e-05	0	9.480021e-06
chr1	 44778421	 44778441	chr1-186	  197.40	+	ENSG00000142937	RPS8	intron|snoRNA	snoRNA	snoRNA	2	0.001137758	3	3	1	3	2	2	2	2	4	5	4	4	3	4	1	2	45	0	1.986373e-05	5.24659e-05	9.480021e-06
chr1	 45511051	 45511071	chr1-2864	   17.20	-	ENSG00000117450	PRDX1	3'UTR	3'UTR	3'UTR	1	8.83156e-05	0	0	3	2	1	2	1	0	2	3	0	0	2	0	0	1	17	2.643335e-05	1.986373e-05	0	0
chr1	 45511238	 45511258	chr1-17	  493.20	-	ENSG00000117450	PRDX1	3'UTR	3'UTR	3'UTR	1	0.001531877	3	3	3	3	2	2	2	1	2	5	1	3	2	1	4	5	42	2.643335e-05	1.986373e-05	0	0
chr1	 45627697	 45627717	chr1-34	  406.30	-	ENSG00000159592	GPBP1L1	3'UTR	3'UTR	3'UTR	1	0.001442155	3	3	3	3	2	2	1	2	1	4	2	4	3	3	2	6	44	2.643335e-05	3.972747e-05	8.744316e-06	0
chr1	 47376903	 47376923	chr1-15	  608.20	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.001818326	3	3	3	3	2	2	2	1	3	5	2	2	3	3	3	5	45	2.643335e-05	1.986373e-05	0	9.480021e-06
chr1	 47377710	 47377730	chr1-364	   50.20	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.0003172928	3	3	3	3	2	2	0	1	2	4	0	0	2	1	2	4	32	0	1.986373e-05	0	9.480021e-06
chr1	 47377825	 47377845	chr1-136	  131.80	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.0005159077	0	3	3	3	2	2	1	1	2	3	1	1	2	1	3	5	33	0	1.986373e-05	8.744316e-06	0
chr1	 51356496	 51356516	chr1-19	  324.40	-	ENSG00000085832	EPS15	3'UTR	3'UTR	3'UTR	1	0.001127248	3	3	3	3	2	2	2	1	2	4	1	3	2	0	3	6	40	2.643335e-05	0	8.744316e-06	0
chr1	 66935754	 66935774	chr1-23192	    3.53	+	ENSG00000198160	MIER1	intron	intron	intron	1	5.376635e-05	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	5	2.643335e-05	1.986373e-05	0	0
chr1	 66985836	 66985856	chr1-41	  172.80	+	ENSG00000198160	MIER1	3'UTR|intron|Other	3'UTR	3'UTR	3	0.0006001378	3	3	3	3	2	2	2	1	2	4	1	1	2	2	2	3	36	0	0	8.744316e-06	7.584017e-05
chr1	 75787948	 75787968	chr1-282	  382.10	+	ENSG00000137955	RABGGTB	downstream 10K|intron|snoRNA	snoRNA	snoRNA	3	0.001104825	3	3	2	2	2	2	2	2	3	3	2	2	2	3	1	2	36	0	0	4.372158e-05	1.896004e-05
chr1	 75789522	 75789542	chr1-200	  149.40	+	ENSG00000137955	RABGGTB	downstream 10K|intron|snoRNA	snoRNA	snoRNA	3	0.001051219	3	3	3	1	2	2	2	2	3	4	3	3	2	3	1	3	40	0	0	5.24659e-05	9.480021e-06
chr1	 77948613	 77948633	chr1-23	  355.70	-	ENSG00000162613	FUBP1	3'UTR|intron	3'UTR	3'UTR	2	0.001217645	3	3	3	3	2	2	2	2	2	4	3	2	3	1	2	4	41	2.643335e-05	3.972747e-05	5.24659e-05	0
chr1	 91387428	 91387448	chr1-172	   91.70	-	ENSG00000162669	HFM1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0005234024	3	3	3	2	2	2	2	0	3	5	2	3	2	2	2	1	37	0	0	4.372158e-05	9.480021e-06
chr1	 92837356	 92837376	chr1-957	   54.20	+	ENSG00000122406	RPL5	downstream 10K|intron|snoRNA|CDS_Retained_intron	snoRNA	snoRNA	4	0.0001832354	3	3	1	1	2	2	2	2	1	2	3	2	2	1	1	0	28	0	0	8.744316e-06	9.480021e-06
chr1	 93361269	 93361289	chr1-421	   85.90	+	ENSG00000117505	DR1	3'UTR|Other	3'UTR	3'UTR	2	0.0002563046	3	3	3	3	2	2	2	1	1	4	1	2	2	1	2	3	35	2.643335e-05	0	8.744316e-06	0
chr1	 93362852	 93362872	chr1-374	   71.40	+	ENSG00000117505	DR1	3'UTR|Other	3'UTR	3'UTR	2	0.0003308989	1	3	3	3	0	2	2	1	1	3	1	1	2	2	2	3	30	0	1.986373e-05	8.744316e-06	0
chr1	 94518376	 94518396	chr1-9	  760.70	+	ENSG00000117528	ABCD3	3'UTR	3'UTR	3'UTR	1	0.002615808	3	3	3	3	2	2	2	1	2	4	3	3	2	4	4	6	47	2.643335e-05	5.95912e-05	0	0
chr1	 94897349	 94897369	chr1-1	 1901.70	-	ENSG00000117519	CNN3	3'UTR	3'UTR	3'UTR	1	0.006841734	3	3	3	3	2	2	2	2	3	5	4	4	2	4	5	5	52	7.930004e-05	7.945494e-05	0	0
chr1	 95192855	 95192875	chr1-215	  159.50	+	ENSG00000152078	TLCD4	3'UTR|intron	3'UTR	3'UTR	2	0.0004681393	3	3	3	3	2	2	2	1	2	4	3	4	2	0	2	3	39	2.643335e-05	1.986373e-05	0	0
chr1	107570827	107570847	chr1-909	  188.60	-			downstream 10K	DS10K	DS10K	1	0.001731049	2	2	3	3	1	2	1	1	2	1	2	2	2	2	4	5	35	0	0	5.24659e-05	6.636015e-05
chr1	108135755	108135775	chr1-2058	   19.80	-	ENSG00000085491	SLC25A24	3'UTR	3'UTR	3'UTR	1	0.0001718619	1	3	3	2	1	2	1	1	1	1	1	0	2	0	0	2	21	2.643335e-05	1.986373e-05	0	0
chr1	111184868	111184888	chr1-27	  301.90	+	ENSG00000134255	CEPT1	3'UTR|Other	3'UTR	3'UTR	2	0.0008922976	3	3	3	3	2	2	2	1	2	4	2	2	2	2	2	4	39	2.643335e-05	1.986373e-05	0	0
chr1	111654244	111654264	chr1-2910	   17.60	+	ENSG00000116473	RAP1A	intron	intron	intron	1	8.456465e-05	3	3	3	2	1	2	0	0	1	3	1	0	2	0	0	0	21	0	1.986373e-05	0	1.896004e-05
chr1	112597827	112597847	chr1-51622	    2.20	-	ENSG00000007341	ST7L	intron	intron	intron	1	4.855199e-05	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	5	2.643335e-05	1.986373e-05	0	0
chr1	112670380	112670400	chr1-8	  637.70	+	ENSG00000116489	CAPZA1	3'UTR|Other	3'UTR	3'UTR	2	0.002941069	3	3	3	3	2	2	1	2	3	5	4	4	2	4	3	7	51	2.643335e-05	5.95912e-05	0	0
chr1	114392915	114392935	chr1-1225	   27.30	-	ENSG00000197323	TRIM33	3'UTR	3'UTR	3'UTR	1	0.0001236538	3	2	3	3	1	1	1	0	1	3	1	0	2	0	0	3	24	2.643335e-05	1.986373e-05	0	0
chr1	114773066	114773086	chr1-7930	    9.70	-	ENSG00000052723	SIKE1	3'UTR	3'UTR	3'UTR	1	8.721941e-05	1	1	1	3	1	1	0	1	1	3	0	0	2	0	2	3	20	0	1.986373e-05	0	1.896004e-05
chr1	114773264	114773284	chr1-70	  148.10	-	ENSG00000052723	SIKE1	3'UTR	3'UTR	3'UTR	1	0.0005836704	3	3	3	3	2	2	2	1	2	5	1	2	2	2	3	2	38	0	1.986373e-05	0	9.480021e-06
chr1	120156587	120156607	chr1-77	  152.90	-	ENSG00000265808	SEC22B	3'UTR	3'UTR	3'UTR	1	0.00053212	3	3	3	3	2	2	1	1	1	4	2	2	2	2	2	5	38	2.643335e-05	0	0	5.688013e-05
chr1	120926537	120926557	chr1-2280	   19.80	+	ENSG00000226067	LINC00623	intron|lncRNA	lncRNA	ncRNA	2	7.668247e-05	3	3	2	3	1	2	0	0	0	1	2	0	2	1	0	0	20	0	1.986373e-05	0	9.480021e-06
chr1	145287815	145287835	chr1-4325	   25.60	+			tRNA	tRNA	ncRNA	1	0.000910248	3	3	3	3	2	2	1	1	1	4	2	3	3	4	3	4	42	0	3.972747e-05	8.744316e-06	9.480021e-06
chr1	146035719	146035739	chr1-9611	   11.90	+			tRNA|unannotated	tRNA	ncRNA	2	6.180439e-05	3	3	2	2	1	1	0	0	1	1	1	1	2	0	2	0	20	0	1.986373e-05	8.744316e-06	0
chr1	146321394	146321414	chr1-90	  146.80	-	ENSG00000290578		lncRNA	lncRNA	ncRNA	1	0.000496828	3	3	3	3	2	2	1	1	1	4	2	2	2	2	2	4	37	2.643335e-05	0	0	7.584017e-05
chr1	146376819	146376839	chr1-558	   80.20	+	ENSG00000273768	RNVU1-29	snRNA	snRNA	ncRNA	1	0.0006448958	3	3	1	3	2	2	2	2	3	4	4	4	2	4	2	2	43	2.643335e-05	0	0	1.896004e-05
chr1	149358058	149358078	chr1-234	   98.70	+			Other	Other	Other	1	0.0003350831	3	3	3	3	2	2	1	1	1	3	3	2	2	1	1	5	36	2.643335e-05	0	0	2.844006e-05
chr1	150473438	150473458	chr1-59	  146.30	+	ENSG00000163125	RPRD2	3'UTR|Other	3'UTR	3'UTR	2	0.0006485862	3	3	3	3	2	2	1	1	1	4	1	1	2	1	2	4	34	2.643335e-05	0	8.744316e-06	0
chr1	154156974	154156994	chr1-5	 1459.20	-	ENSG00000143549	TPM3	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.00388293	3	3	3	3	2	2	2	2	2	5	3	3	2	4	5	6	50	2.643335e-05	0	0	2.844006e-05
chr1	154270788	154270808	chr1-81	  119.40	+	ENSG00000143569	UBAP2L	3'UTR|intron	3'UTR	3'UTR	2	0.0007225764	3	3	3	3	2	2	1	1	3	3	1	1	2	3	1	5	37	5.28667e-05	1.986373e-05	0	0
chr1	154584670	154584690	chr1-35	  445.10	-	ENSG00000160710	ADAR	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001478834	3	3	3	3	2	2	1	2	2	3	3	3	2	2	2	6	42	0	5.95912e-05	0	9.480021e-06
chr1	156290351	156290371	chr1-32581	    2.20	-	ENSG00000198715	GLMP	3'UTR|intron	3'UTR	3'UTR	2	3.391888e-05	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	0	6	0	1.986373e-05	0	9.480021e-06
chr1	157044998	157045018	chr1-387	   88.10	-	ENSG00000132694	ARHGEF11	5'UTR	5'UTR	5'UTR	1	0.0002341914	3	3	3	3	2	2	1	1	0	3	0	2	2	0	2	1	28	0	1.986373e-05	1.748863e-05	0
chr1	160896274	160896294	chr1-332	   60.80	+				UnAn	UnAn	0	0.0002494504	2	3	3	3	2	2	1	1	1	3	2	2	2	0	3	3	33	0	3.972747e-05	8.744316e-06	0
chr1	161455629	161455649	chr1-3192	   71.80	-	ENSG00000283360		intron|tRNA|lncRNA	lncRNA	ncRNA	3	0.0004078032	3	2	3	3	2	2	2	2	2	4	3	1	2	3	1	1	36	2.643335e-05	3.972747e-05	0	0
chr1	162527272	162527292	chr1-9107	    7.49	+	ENSG00000152332	UHMK1	3'UTR	3'UTR	3'UTR	1	8.340362e-05	1	1	2	1	1	1	0	1	0	1	0	1	2	0	0	2	14	0	1.986373e-05	0	9.480021e-06
chr1	167960075	167960095	chr1-1892	   19.00	+	ENSG00000143164	DCAF6	intron	intron	intron	1	7.505694e-05	3	3	3	3	1	2	0	0	0	1	1	0	2	0	1	0	20	2.643335e-05	0	0	9.480021e-06
chr1	168245580	168245600	chr1-13	  336.30	+	ENSG00000213064	SFT2D2	3'UTR|TE	3'UTR	3'UTR	2	0.0010928	3	3	3	3	2	2	1	2	2	4	2	2	2	2	3	4	40	0	1.986373e-05	0	9.480021e-06
chr1	169132047	169132067	chr1-24	  421.30	+	ENSG00000143153	ATP1B1	3'UTR|intron|Other|CDS_Retained_intron	3'UTR	3'UTR	4	0.001755632	3	3	3	3	2	2	2	1	2	4	3	1	2	2	5	5	43	0	1.986373e-05	0	9.480021e-06
chr1	169132187	169132207	chr1-204	  133.50	+	ENSG00000143153	ATP1B1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0005988817	3	3	3	3	2	2	1	1	3	3	2	2	2	2	3	5	40	7.930004e-05	1.986373e-05	0	0
chr1	173864841	173864861	chr1-399	   63.00	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.0005802908	3	3	1	2	2	2	2	2	3	3	3	3	2	4	0	0	35	0	1.986373e-05	8.744316e-06	0
chr1	173865358	173865378	chr1-51	  574.70	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.002773424	3	3	3	3	2	2	2	2	3	4	4	4	2	3	3	2	45	0	0	6.121021e-05	3.792008e-05
chr1	173865641	173865661	chr1-433	  208.90	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.0008133042	3	3	3	2	2	2	2	2	2	4	4	3	2	2	2	0	38	0	0	5.24659e-05	9.480021e-06
chr1	173865974	173865994	chr1-487	  140.10	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.0005612821	3	3	2	1	2	2	2	2	1	4	4	3	2	2	1	1	35	0	1.986373e-05	5.24659e-05	0
chr1	173866638	173866658	chr1-94	  242.80	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.001910321	3	3	3	3	2	2	2	2	2	3	4	4	3	3	2	4	45	2.643335e-05	0	6.995453e-05	4.74001e-05
chr1	173866892	173866912	chr1-139	  325.70	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.000965454	3	3	3	3	2	2	2	2	2	3	3	2	2	2	2	1	37	0	0	5.24659e-05	9.480021e-06
chr1	173867693	173867713	chr1-312	  188.60	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.001060919	3	3	1	0	2	2	2	2	3	4	3	4	3	3	3	1	39	0	3.972747e-05	6.121021e-05	1.896004e-05
chr1	180349208	180349228	chr1-3450	   47.20	-	ENSG00000230124	ACBD6	intron	intron	intron	1	0.0001889079	1	1	2	0	1	1	1	1	0	2	2	1	2	2	2	1	20	0	0	2.623295e-05	9.480021e-06
chr1	180884868	180884888	chr1-239	  116.30	+	ENSG00000143324	XPR1	3'UTR	3'UTR	3'UTR	1	0.0004822764	3	3	3	3	2	2	1	2	2	4	1	1	2	1	2	6	38	2.643335e-05	1.986373e-05	0	0
chr1	183626231	183626251	chr1-91	  144.10	-	ENSG00000162704	ARPC5	3'UTR|intron	3'UTR	3'UTR	2	0.0005682521	3	3	3	3	2	2	2	1	2	4	3	2	2	2	2	4	40	0	1.986373e-05	0	9.480021e-06
chr1	200176670	200176690	chr1-85	  224.30	+	ENSG00000116833	NR5A2	3'UTR	3'UTR	3'UTR	1	0.0007030416	3	3	3	3	2	2	1	1	0	3	0	3	2	2	2	5	35	2.643335e-05	0	8.744316e-06	0
chr1	202940963	202940983	chr1-49	  260.00	-	ENSG00000159346	ADIPOR1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0009834693	3	3	3	3	2	2	1	2	2	5	3	2	2	3	3	5	44	0	1.986373e-05	0	1.896004e-05
chr1	204405505	204405525	chr1-338	   79.30	-	ENSG00000158615	PPP1R15B	3'UTR|intron	3'UTR	3'UTR	2	0.0002102848	3	3	3	3	2	2	1	2	1	4	0	0	2	0	1	2	29	0	1.986373e-05	8.744316e-06	0
chr1	204507040	204507060	chr1-3152	   45.00	-			tRNA|unannotated	tRNA	ncRNA	2	0.0002033009	0	2	1	3	2	2	0	1	0	1	1	2	2	2	2	1	22	0	0	1.748863e-05	1.896004e-05
chr1	205717555	205717575	chr1-365	   62.60	-	ENSG00000069275	NUCKS1	3'UTR	3'UTR	3'UTR	1	0.0002696388	3	3	3	3	2	2	1	0	0	3	0	0	2	0	0	2	24	2.643335e-05	1.986373e-05	0	0
chr1	211745449	211745469	chr1-381	   93.40	-	ENSG00000123684	LPGAT1	3'UTR	3'UTR	3'UTR	1	0.0004252158	3	3	3	3	1	1	1	1	1	3	1	1	2	1	2	3	30	2.643335e-05	1.986373e-05	0	0
chr1	212590256	212590276	chr1-47	 1326.50	+	ENSG00000162772	ATF3	intron	intron	intron	1	0.003847438	3	3	3	3	2	2	2	2	3	4	4	4	3	3	3	5	49	2.643335e-05	0	2.623295e-05	9.480021e-06
chr1	223863184	223863204	chr1-1423	   29.10	-				UnAn	UnAn	0	0.0004391126	2	3	3	3	2	1	1	1	0	3	1	2	2	3	1	5	33	7.930004e-05	3.972747e-05	0	0
chr1	223863604	223863624	chr1-10	 1894.60	-				UnAn	UnAn	0	0.005883003	3	3	3	3	2	2	2	2	2	5	3	4	4	4	3	6	51	0.0001586001	5.95912e-05	8.744316e-06	9.480021e-06
chr1	225491462	225491482	chr1-419	   56.00	-	ENSG00000154380	ENAH	3'UTR	3'UTR	3'UTR	1	0.0001751305	3	3	3	3	1	2	0	0	2	4	0	0	2	0	2	3	28	0	1.986373e-05	8.744316e-06	0
chr1	225491462	225491482	chr1-419	   56.00	-	ENSG00000154380	ENAH	3'UTR	3'UTR	3'UTR	1	0.0001751305	3	3	3	3	1	2	0	0	2	4	0	0	2	0	2	3	28	0	1.986373e-05	8.744316e-06	0
chr1	226145105	226145125	chr1-240	   90.30	-	ENSG00000182827	ACBD3	3'UTR	3'UTR	3'UTR	1	0.0003258652	3	3	3	3	2	2	2	2	1	3	0	2	2	2	1	4	35	0	1.986373e-05	8.744316e-06	0
chr1	228558294	228558314	chr1-216	  168.40	-	ENSG00000251823	RNA5SP162		UnAn	UnAn	0	0.001371755	3	3	3	3	2	2	2	2	1	4	3	3	2	2	3	3	41	0	0	0.0001049318	9.480021e-06
chr1	228610276	228610296	chr1-261	  186.90	-	ENSG00000199352	RNA5S1	rRNA	rRNA	ncRNA	1	0.002423312	3	3	3	3	2	2	2	2	3	5	4	3	2	3	2	1	43	0	0	0.0001049318	4.74001e-05
chr1	228612517	228612537	chr1-246	  187.70	-	ENSG00000201588	RNA5S2	rRNA	rRNA	ncRNA	1	0.00242326	3	3	3	3	2	2	2	2	1	5	4	3	3	2	3	3	44	0	3.972747e-05	0.0001049318	4.74001e-05
chr1	228614759	228614779	chr1-248	  169.20	-	ENSG00000199337	RNA5S3	rRNA	rRNA	ncRNA	1	0.002492343	3	3	3	3	2	2	2	2	3	4	3	3	3	4	3	3	46	2.643335e-05	0	0.0001136761	3.792008e-05
chr1	228617000	228617020	chr1-270	  185.10	-	ENSG00000200381	RNA5S4	rRNA	rRNA	ncRNA	1	0.002368025	3	3	3	3	2	2	2	2	2	4	3	3	3	4	2	2	43	0	1.986373e-05	0.0001224204	5.688013e-05
chr1	228619240	228619260	chr1-287	  175.40	-	ENSG00000199396	RNA5S5	rRNA	rRNA	ncRNA	1	0.002377128	3	3	3	3	2	2	2	2	2	4	3	4	2	3	2	1	41	0	0	0.0001224204	5.688013e-05
chr1	228621456	228621476	chr1-241	  173.20	-	ENSG00000200624	RNA5S6	rRNA	rRNA	ncRNA	1	0.002443567	3	3	3	3	2	2	2	2	3	4	3	2	4	4	2	2	44	5.28667e-05	1.986373e-05	0.000166142	1.896004e-05
chr1	228621500	228621520	chr1-504	  145.00	-	ENSG00000200624	RNA5S6	rRNA	rRNA	ncRNA	1	0.002096879	3	3	3	3	2	2	2	2	2	4	2	2	2	2	3	1	38	0	0	0.0001486534	1.896004e-05
chr1	228623675	228623695	chr1-280	  169.70	-	ENSG00000202521	RNA5S7	rRNA	rRNA	ncRNA	1	0.00236561	3	3	3	3	2	2	2	2	3	4	3	3	2	4	2	2	43	0	0	0.0001486534	2.844006e-05
chr1	228625917	228625937	chr1-237	  184.70	-	ENSG00000200343	RNA5S8	rRNA	rRNA	ncRNA	1	0.002382309	3	3	3	3	2	2	2	2	2	4	4	2	3	3	2	2	42	2.643335e-05	0	0.0001311647	3.792008e-05
