chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NLS_E_M_1	NLS_E_M_2	NLS_E_M_3	NLS_E_M_4
chr1	  1885457	  1885477	chr1-7252	    8.37	-	ENSG00000078369	GNB1	intron	intron	intron	1	2.690878e-05	2	3	0	3	1	2	0	1	0	1	2	0	0	0	0	0	15	4.927298e-06	6.834289e-06	0	0
chr1	  2370672	  2370692	chr1-48847	    2.20	-	ENSG00000116151	MORN1	downstream 10K|intron|TE	TE	TE	3	1.178626e-05	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	4	0	0	3.782728e-06	2.093956e-06
chr1	  6653786	  6653806	chr1-17323	    4.85	-	ENSG00000007923	DNAJC11	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	1.260183e-05	3	1	0	2	1	0	0	0	0	0	2	0	0	0	1	0	10	0	0	1.891364e-06	2.093956e-06
chr1	  6868301	  6868321	chr1-50459	    2.20	-			unannotated	UnAn	UnAn	1	8.17819e-06	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	5	0	0	1.891364e-06	2.093956e-06
chr1	  6871881	  6871901	chr1-1638	   23.40	+	ENSG00000171735	CAMTA1	3'UTR|intron|Other	3'UTR	3'UTR	3	7.43002e-05	2	3	2	3	1	2	1	1	1	3	2	1	0	0	1	2	25	4.927298e-06	6.834289e-06	0	0
chr1	  8012658	  8012678	chr1-1858	   17.60	-	ENSG00000116285	ERRFI1	3'UTR|intron	3'UTR	3'UTR	2	7.954044e-05	3	3	3	3	1	2	1	1	1	3	2	0	0	1	0	0	24	4.927298e-06	0	0	2.093956e-06
chr1	  8020501	  8020521	chr1-617	   40.50	-	ENSG00000116285	ERRFI1	intron	intron	intron	1	0.0001107021	3	3	3	2	2	1	1	1	1	2	2	0	0	0	2	0	23	0	6.834289e-06	1.891364e-06	0
chr1	  8381604	  8381624	chr1-1102	   30.00	-	ENSG00000142599	RERE	intron	intron	intron	1	0.0001081586	3	3	3	3	1	2	1	0	2	3	2	4	0	0	1	0	28	9.854595e-06	0	0	4.187912e-06
chr1	  8394918	  8394938	chr1-10600	    6.61	-	ENSG00000142599	RERE	intron	intron	intron	1	2.409075e-05	2	2	1	0	1	1	0	0	1	2	2	1	0	0	0	0	13	4.927298e-06	0	0	2.093956e-06
chr1	  8513114	  8513134	chr1-17975	    3.97	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	1.986853e-05	1	3	2	2	0	0	0	0	0	0	2	0	0	0	0	0	10	0	6.834289e-06	1.891364e-06	0
chr1	  8605082	  8605102	chr1-25374	    3.97	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	2.260476e-05	0	1	0	0	0	0	1	0	2	2	2	0	0	0	0	0	8	4.927298e-06	0	0	2.093956e-06
chr1	  8622811	  8622831	chr1-5053	   10.60	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	3.123265e-05	3	1	2	2	2	2	0	0	1	2	2	0	0	0	0	0	17	4.927298e-06	6.834289e-06	0	0
chr1	  8665686	  8665706	chr1-7334	    7.05	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	4.696898e-05	3	2	2	3	1	0	0	1	0	0	2	1	0	0	0	1	16	4.927298e-06	6.834289e-06	0	0
chr1	  8672847	  8672867	chr1-8932	    8.81	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	5.125575e-05	1	2	1	2	1	1	1	0	0	0	2	0	0	1	0	0	12	4.927298e-06	6.834289e-06	0	0
chr1	  8693869	  8693889	chr1-27838	    3.08	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	1.198784e-05	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0	0	6	4.927298e-06	0	0	2.093956e-06
chr1	  8751759	  8751779	chr1-159	   89.90	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0002247557	3	3	3	3	2	2	1	2	1	3	2	2	0	1	1	1	30	0	6.834289e-06	7.565455e-06	0
chr1	  8752270	  8752290	chr1-9747	    8.37	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	5.018108e-05	1	1	3	3	0	1	0	0	1	1	2	1	0	1	0	0	15	0	6.834289e-06	1.891364e-06	0
chr1	  9563347	  9563367	chr1-13638	    7.93	+	ENSG00000171612	SLC25A33	intron	intron	intron	1	2.477421e-05	2	1	1	2	1	0	1	1	0	1	2	0	0	0	1	0	13	0	6.834289e-06	0	2.093956e-06
chr1	  9829480	  9829500	chr1-3851	   15.40	+			Other|unannotated	Other	Other	2	0.0001164288	0	0	1	0	1	1	0	0	0	2	2	2	0	1	2	2	14	0	0	1.891364e-06	2.093956e-06
chr1	 10127555	 10127575	chr1-9218	    7.05	+	ENSG00000130939	UBE4B	intron	intron	intron	1	1.893984e-05	2	1	1	1	1	1	0	0	0	2	2	1	0	0	0	0	12	0	0	1.891364e-06	2.093956e-06
chr1	 10139561	 10139581	chr1-13277	    5.73	+	ENSG00000130939	UBE4B	intron|CDS_Retained_intron	CDS_RI	intron	2	2.309579e-05	1	0	0	2	1	2	0	0	1	2	2	0	0	0	1	0	12	4.927298e-06	6.834289e-06	0	0
chr1	 10239391	 10239411	chr1-5258	   12.80	+	ENSG00000054523	KIF1B	intron	intron	intron	1	4.281013e-05	2	3	2	2	1	1	1	0	0	1	2	1	0	0	1	0	17	4.927298e-06	6.834289e-06	0	0
chr1	 10270070	 10270090	chr1-17382	    4.41	+	ENSG00000054523	KIF1B	downstream 10K|intron	intron	intron	2	1.974725e-05	1	0	0	2	1	1	1	1	0	0	2	0	0	0	0	0	9	4.927298e-06	6.834289e-06	0	0
chr1	 10298999	 10299019	chr1-483	   44.10	+	ENSG00000054523	KIF1B	downstream 10K|intron|snRNA	snRNA	ncRNA	3	0.0002230035	3	3	3	1	1	2	2	1	1	4	2	2	2	2	0	1	30	0	0	7.565455e-06	1.675165e-05
chr1	 10400673	 10400693	chr1-334	   91.70	+	ENSG00000142657	PGD	downstream 10K|intron	intron	intron	2	0.0002181855	3	3	3	3	2	2	1	1	1	3	2	1	0	0	1	0	26	0	1.366858e-05	3.782728e-06	0
chr1	 10420219	 10420239	chr1-8716	    8.37	+	ENSG00000142657	PGD	3'UTR	3'UTR	3'UTR	1	1.917638e-05	0	2	1	3	0	0	0	0	0	2	2	0	0	0	0	0	10	0	0	1.891364e-06	2.093956e-06
chr1	 10587905	 10587925	chr1-1656	   32.60	-			unannotated	UnAn	UnAn	1	0.0004629832	1	0	2	1	1	1	1	1	0	1	2	2	0	2	4	3	22	0	0	1.891364e-06	2.093956e-06
chr1	 11909823	 11909843	chr1-4314	   11.90	-	ENSG00000201801	RNU5E-4P	downstream 10K|snRNA	snRNA	ncRNA	2	8.530501e-05	3	3	0	0	1	0	1	0	1	1	2	0	0	0	2	0	14	0	0	1.891364e-06	2.093956e-06
chr1	 12605610	 12605630	chr1-31859	    3.08	-	ENSG00000162496	DHRS3	intron|CDS_Retained_intron	CDS_RI	intron	2	7.324033e-06	0	2	0	2	1	0	0	0	0	0	2	0	0	0	0	0	7	0	0	1.891364e-06	2.093956e-06
chr1	 12928920	 12928940	chr1-1754	   27.80	+			downstream 10K|Other	Other	Other	2	0.0005752973	1	1	1	0	1	1	0	0	0	1	2	1	0	2	3	4	18	0	0	1.891364e-06	2.093956e-06
chr1	 16395635	 16395655	chr1-379	   56.40	+	ENSG00000055070	SZRD1	3'UTR|Other	3'UTR	3'UTR	2	0.0001912088	3	3	3	3	2	2	1	1	2	2	3	0	0	0	1	2	28	0	6.834289e-06	1.891364e-06	2.093956e-06
chr1	 16514150	 16514170	chr1-1617	   28.20	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0001171972	3	3	1	2	2	2	1	0	0	2	3	4	0	1	0	2	26	4.927298e-06	0	3.782728e-06	2.093956e-06
chr1	 16514253	 16514273	chr1-623	   77.10	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0008492157	3	3	1	3	2	2	2	2	3	3	4	4	2	2	4	3	43	9.854595e-06	2.050287e-05	1.323955e-05	1.675165e-05
chr1	 16666816	 16666836	chr1-1430	   26.40	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0001127572	2	2	1	2	2	2	2	1	2	1	3	3	1	2	0	2	28	0	6.834289e-06	3.782728e-06	2.093956e-06
chr1	 16666916	 16666936	chr1-593	   70.50	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0005754198	3	3	3	3	2	2	2	1	3	3	4	4	3	3	1	2	42	1.478189e-05	4.100573e-05	1.702227e-05	1.256373e-05
chr1	 16685045	 16685065	chr1-3469	   12.80	-	ENSG00000280114		intron	intron	intron	1	5.282035e-05	1	0	3	1	2	2	0	0	1	2	2	1	1	0	1	1	18	0	0	1.891364e-06	2.093956e-06
chr1	 16740528	 16740548	chr1-566	   81.50	+	ENSG00000058453	CROCC	intron|lncRNA|snRNA	lncRNA	ncRNA	3	0.0007500836	3	3	1	3	2	2	2	1	2	4	4	4	2	3	2	3	41	3.941838e-05	6.834289e-05	1.513091e-05	1.88456e-05
chr1	 16895993	 16896013	chr1-781	   75.40	+	ENSG00000058453	CROCC	intron|snRNA	snRNA	ncRNA	2	0.0004283245	3	3	2	2	2	2	2	2	2	3	4	4	0	3	2	2	38	4.927298e-06	4.784002e-05	1.891364e-05	1.88456e-05
chr1	 16896094	 16896114	chr1-1490	   30.80	+	ENSG00000058453	CROCC	intron|snRNA	snRNA	ncRNA	2	0.0001296282	3	2	2	1	2	2	1	0	2	2	2	3	1	3	1	1	28	0	0	5.674092e-06	6.281867e-06
chr1	 16905314	 16905334	chr1-5982	   11.50	+	ENSG00000058453	CROCC	intron|lncRNA	lncRNA	ncRNA	2	4.841553e-05	3	1	3	0	2	0	1	1	2	1	3	0	0	0	0	0	17	4.927298e-06	0	3.782728e-06	2.093956e-06
chr1	 17408758	 17408778	chr1-424	   68.80	-	ENSG00000179051	RCC2	3'UTR|intron	3'UTR	3'UTR	2	0.0002684662	3	3	3	3	2	2	1	1	0	3	2	1	1	0	2	3	30	0	6.834289e-06	1.891364e-06	0
chr1	 19135895	 19135915	chr1-7058	    7.05	-	ENSG00000127481	UBR4	intron	intron	intron	1	2.696069e-05	3	1	1	3	1	1	1	0	1	1	2	0	0	0	0	0	15	4.927298e-06	6.834289e-06	0	0
chr1	 19188957	 19188977	chr1-11179	    6.17	-	ENSG00000127481	UBR4	intron	intron	intron	1	2.39966e-05	1	2	0	2	1	1	1	0	1	1	2	1	0	0	0	0	13	4.927298e-06	6.834289e-06	0	0
chr1	 19218968	 19218988	chr1-201	   87.30	-	ENSG00000127463	EMC1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0004436216	3	3	3	3	2	2	1	1	1	3	2	1	0	0	3	2	30	1.478189e-05	6.834289e-06	0	0
chr1	 19359225	 19359245	chr1-48933	    2.20	-	ENSG00000077549	CAPZB	intron|CDS_Retained_intron	CDS_RI	intron	2	7.871674e-06	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	5	0	0	1.891364e-06	2.093956e-06
chr1	 20652280	 20652300	chr1-283	   64.80	-	ENSG00000244038	DDOST	3'UTR	3'UTR	3'UTR	1	0.0001678574	3	3	3	3	2	1	1	1	1	3	3	0	0	0	0	0	24	4.927298e-06	6.834289e-06	0	2.093956e-06
chr1	 20775099	 20775119	chr1-3591	   11.90	-	ENSG00000127483	HP1BP3	downstream 10K|intron	intron	intron	2	3.674976e-05	0	3	3	3	0	2	0	0	2	2	2	1	0	0	0	0	18	4.927298e-06	0	1.891364e-06	0
chr1	 20775992	 20776012	chr1-372	   55.50	-	ENSG00000127483	HP1BP3	CDS|intron	CDS	CDS	2	0.0001395981	3	3	3	3	2	1	1	1	1	2	2	1	0	0	1	1	25	4.927298e-06	6.834289e-06	0	0
chr1	 20806967	 20806987	chr1-512	   79.80	-	ENSG00000075151	EIF4G3	3'UTR	3'UTR	3'UTR	1	0.0003644247	2	3	3	3	2	1	1	1	1	4	2	2	1	3	1	4	34	4.927298e-06	1.366858e-05	0	0
chr1	 20814287	 20814307	chr1-28700	    3.08	-	ENSG00000075151	EIF4G3	downstream 10K|intron	intron	intron	2	1.985794e-05	1	0	0	1	1	1	1	1	1	0	2	0	0	0	0	0	9	4.927298e-06	6.834289e-06	0	0
chr1	 20919553	 20919573	chr1-6710	    8.81	-	ENSG00000075151	EIF4G3	intron|CDS_Retained_intron	CDS_RI	intron	2	3.842459e-05	3	3	3	1	2	1	0	1	0	2	2	0	0	0	1	0	19	4.927298e-06	6.834289e-06	0	0
chr1	 20997896	 20997916	chr1-1870	   19.80	-	ENSG00000075151	EIF4G3	downstream 10K|intron	intron	intron	2	8.38641e-05	3	3	3	3	1	2	0	0	1	4	2	0	0	0	0	0	22	4.927298e-06	6.834289e-06	0	0
chr1	 21096599	 21096619	chr1-9804	    8.37	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	2.794039e-05	3	2	0	2	1	1	1	0	1	0	2	0	0	0	0	0	13	4.927298e-06	6.834289e-06	0	0
chr1	 21140863	 21140883	chr1-1092	   34.40	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	9.795533e-05	3	3	2	3	1	1	0	0	2	3	2	1	0	1	0	0	22	4.927298e-06	6.834289e-06	0	0
chr1	 21144683	 21144703	chr1-10789	    8.37	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	2.670148e-05	3	2	3	3	1	1	0	0	1	0	2	0	0	0	0	0	16	0	6.834289e-06	1.891364e-06	0
chr1	 21145286	 21145306	chr1-722	   36.60	-	ENSG00000075151	EIF4G3	intron|TE	TE	TE	2	0.0001032814	3	3	3	3	1	1	1	0	1	3	2	2	0	0	2	0	25	4.927298e-06	0	1.891364e-06	0
chr1	 21154791	 21154811	chr1-20927	    3.97	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	1.145306e-05	0	0	0	2	1	1	0	0	0	0	2	0	0	0	0	0	6	4.927298e-06	0	1.891364e-06	0
chr1	 21156544	 21156564	chr1-1416	   22.50	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	6.86919e-05	0	3	2	3	2	2	1	1	2	2	2	0	0	0	1	1	22	4.927298e-06	6.834289e-06	0	0
chr1	 21163614	 21163634	chr1-769	   41.90	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	9.664275e-05	3	3	3	3	1	1	0	0	1	2	2	0	0	0	1	0	20	4.927298e-06	6.834289e-06	0	0
chr1	 21172101	 21172121	chr1-76	  143.20	-	ENSG00000075151	EIF4G3	intron	intron	intron	1	0.0003113012	3	3	3	3	2	2	1	1	2	4	2	2	0	0	1	0	29	0	6.834289e-06	1.891364e-06	0
chr1	 21727161	 21727181	chr1-7107	    7.93	-	ENSG00000090686	USP48	downstream 10K|intron	intron	intron	2	2.302809e-05	1	2	2	3	2	2	0	0	0	2	2	1	0	0	0	0	17	0	6.834289e-06	1.891364e-06	0
chr1	 22031048	 22031068	chr1-384	   63.90	+	ENSG00000218510	LINC00339	intron|Other|lncRNA	lncRNA	ncRNA	3	0.0004185133	3	3	3	3	1	2	1	1	2	5	2	1	0	1	2	4	34	4.927298e-06	6.834289e-06	0	0
chr1	 22077262	 22077282	chr1-13322	    6.17	+	ENSG00000070831	CDC42	intron	intron	intron	1	2.003109e-05	0	2	1	2	0	1	1	1	1	0	2	0	0	0	0	0	11	4.927298e-06	0	0	2.093956e-06
chr1	 22091811	 22091831	chr1-4	 1036.60	+	ENSG00000070831	CDC42	3'UTR|Other	3'UTR	3'UTR	2	0.00333069	3	3	3	3	2	2	2	2	2	4	2	4	2	4	4	6	48	0	0	1.891364e-05	4.187912e-05
chr1	 22092008	 22092028	chr1-526	   48.50	+	ENSG00000070831	CDC42	3'UTR	3'UTR	3'UTR	1	0.0003458789	2	3	3	3	2	2	1	1	2	4	2	1	0	2	3	5	36	0	1.366858e-05	3.782728e-06	0
chr1	 23259684	 23259704	chr1-3911	   54.20	+			Other|unannotated	Other	Other	2	0.0001774257	0	0	0	0	2	2	1	1	2	3	3	3	1	1	2	3	24	0	6.834289e-06	1.891364e-06	2.093956e-06
chr1	 23285999	 23286019	chr1-331	   56.40	-	ENSG00000261326	LINC01355	lncRNA	lncRNA	ncRNA	1	0.0001328247	3	3	3	3	2	2	1	1	1	3	2	0	0	0	1	0	25	4.927298e-06	6.834289e-06	0	0
chr1	 23299139	 23299159	chr1-2951	   15.00	-			downstream 10K	DS10K	DS10K	1	5.24392e-05	2	3	3	3	2	2	0	0	1	3	2	0	0	0	1	0	22	0	0	3.782728e-06	2.093956e-06
chr1	 23306363	 23306383	chr1-459	   55.10	-	ENSG00000125944	HNRNPR	3'UTR|intron	3'UTR	3'UTR	2	0.0001942883	3	3	3	3	2	1	1	1	2	4	2	3	0	0	1	0	29	1.970919e-05	1.366858e-05	0	0
chr1	 23309119	 23309139	chr1-470	   52.90	-	ENSG00000125944	HNRNPR	3'UTR|intron	3'UTR	3'UTR	2	0.0001302596	3	3	3	3	2	1	1	1	1	1	2	0	0	0	0	0	21	1.478189e-05	6.834289e-06	0	0
chr1	 23322615	 23322635	chr1-4479	   12.80	-	ENSG00000125944	HNRNPR	intron	intron	intron	1	5.449127e-05	3	2	2	2	2	1	1	2	1	2	2	1	0	0	1	0	22	4.927298e-06	6.834289e-06	0	0
chr1	 23397356	 23397376	chr1-2168	   20.70	-	ENSG00000204219	TCEA3	downstream 10K|intron	intron	intron	2	9.591029e-05	3	3	3	3	1	1	0	1	1	2	2	0	0	0	0	0	20	4.927298e-06	0	0	4.187912e-06
chr1	 23969332	 23969352	chr1-872	   29.50	-	ENSG00000188529	SRSF10	3'UTR|intron	3'UTR	3'UTR	2	9.820995e-05	3	3	3	3	2	2	0	0	0	3	2	1	0	0	1	3	26	0	0	1.891364e-06	2.093956e-06
chr1	 23975352	 23975372	chr1-847	   36.10	-	ENSG00000188529	SRSF10	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0001228306	3	3	3	3	2	2	1	1	1	3	2	1	0	0	1	2	28	1.970919e-05	0	0	4.187912e-06
chr1	 23975433	 23975453	chr1-729	   42.30	-	ENSG00000188529	SRSF10	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0002141337	3	3	3	3	2	2	1	0	2	4	4	3	0	0	1	2	33	9.854595e-06	6.834289e-06	1.891364e-06	2.093956e-06
chr1	 23977852	 23977872	chr1-304	   71.80	-	ENSG00000188529	SRSF10	downstream 10K|intron	intron	intron	2	0.0003574017	3	3	3	2	2	2	2	2	2	4	3	3	0	0	4	1	36	4.927298e-06	0	1.891364e-06	4.187912e-06
chr1	 24647667	 24647687	chr1-10304	    8.81	+	ENSG00000133226	SRRM1	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	4.274281e-05	1	2	0	2	1	1	1	1	0	1	2	2	0	0	0	0	14	0	6.834289e-06	0	2.093956e-06
chr1	 24672754	 24672774	chr1-937	   80.70	+	ENSG00000133226	SRRM1	3'UTR	3'UTR	3'UTR	1	0.0003775743	3	3	3	3	2	2	1	1	1	3	2	1	2	0	3	4	34	9.854595e-06	0	0	6.281867e-06
chr1	 24672896	 24672916	chr1-738	   56.40	+	ENSG00000133226	SRRM1	3'UTR	3'UTR	3'UTR	1	0.0002829841	2	3	3	3	2	2	1	1	2	3	4	3	1	2	1	2	35	9.854595e-06	1.366858e-05	1.891364e-06	2.093956e-06
chr1	 24672984	 24673004	chr1-12	  415.60	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.001487854	3	3	3	3	2	2	2	2	3	4	4	3	3	3	3	6	49	4.927298e-06	6.834289e-06	1.134818e-05	2.093956e-06
chr1	 24673200	 24673220	chr1-56	  152.50	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.0006324224	3	3	3	3	2	2	1	1	2	4	3	2	2	0	3	4	38	4.927298e-06	0	1.891364e-06	4.187912e-06
chr1	 24746493	 24746513	chr1-1573	   27.80	+	ENSG00000169504	CLIC4	intron	intron	intron	1	0.0002336717	1	3	1	3	1	1	0	1	1	4	2	1	0	0	0	0	19	4.927298e-06	0	1.891364e-06	0
chr1	 24749623	 24749643	chr1-550	   38.30	+	ENSG00000169504	CLIC4	intron	intron	intron	1	0.0002815587	3	3	3	3	1	1	1	1	1	4	2	3	0	1	2	1	30	4.927298e-06	0	0	2.093956e-06
chr1	 24842715	 24842735	chr1-730	   37.50	+	ENSG00000169504	CLIC4	3'UTR|intron	3'UTR	3'UTR	2	0.0004983933	2	3	3	3	2	2	1	1	2	4	2	0	1	2	2	5	35	9.854595e-06	6.834289e-06	0	0
chr1	 25244659	 25244679	chr1-732	   38.80	-	ENSG00000117616	RSRP1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0001054179	3	3	3	3	1	1	1	1	0	3	2	1	0	0	0	0	22	9.854595e-06	1.366858e-05	0	0
chr1	 26475252	 26475272	chr1-3	 1345.50	+	ENSG00000198830	HMGN2	3'UTR|Other	3'UTR	3'UTR	2	0.004038086	3	3	3	3	2	2	2	2	3	4	4	3	2	4	4	7	51	9.854595e-06	6.834289e-06	2.0805e-05	2.722143e-05
chr1	 26781865	 26781885	chr1-33	  261.30	+	ENSG00000117713	ARID1A	3'UTR	3'UTR	3'UTR	1	0.0008415737	3	3	3	3	2	2	2	2	2	4	3	2	1	2	2	6	42	4.927298e-06	0	5.674092e-06	4.187912e-06
chr1	 27325250	 27325270	chr1-1369	   22.90	+	ENSG00000186501	TMEM222	intron|snRNA	snRNA	ncRNA	2	8.100667e-05	0	2	1	0	2	2	0	1	2	1	2	2	0	2	1	0	18	0	0	9.456819e-06	4.187912e-06
chr1	 27916104	 27916124	chr1-2561	   35.70	-				UnAn	UnAn	0	0.0001068465	1	2	2	2	1	2	1	2	1	0	2	2	0	2	2	1	23	0	0	3.782728e-06	8.375823e-06
chr1	 28246858	 28246878	chr1-9883	    6.61	-				UnAn	UnAn	0	2.724498e-05	3	0	1	2	1	1	1	0	0	1	2	0	0	0	0	0	12	4.927298e-06	6.834289e-06	0	0
chr1	 28379986	 28380006	chr1-7718	    9.70	+	ENSG00000204138	PHACTR4	intron|CDS_Retained_intron	CDS_RI	intron	2	2.859963e-05	3	1	1	2	1	1	0	0	1	0	3	0	0	0	0	0	13	4.927298e-06	6.834289e-06	1.891364e-06	0
chr1	 28507544	 28507564	chr1-1306	  142.80	+	ENSG00000180198	RCC1	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0007232589	3	3	3	2	2	2	2	2	3	4	4	3	2	3	2	3	43	4.927298e-06	1.366858e-05	2.0805e-05	1.465769e-05
chr1	 28508735	 28508755	chr1-2676	   62.60	+	ENSG00000180198	RCC1	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0005036896	3	3	3	1	2	2	2	2	1	4	3	2	2	2	2	0	34	0	6.834289e-06	1.134818e-05	8.375823e-06
