chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	NLS_I_M_1	NLS_I_M_2	NES_I_M_1	NES_I_M_2	G3BP_I_M_1	G3BP_I_M_2	G3BP_I_M_3	G3BP_I_M_4
chr1	  1261560	  1261580	chr1-1978	   19.80	-	ENSG00000160087	UBE2J2	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	6.026492e-05	3	3	3	3	2	0	1	0	1	2	0	1	0	0	1	0	20	1.235015e-06	2.287739e-06	2.397432e-06	0	0	9.487936e-06	0	0
chr1	  1318702	  1318722	chr1-1412	   23.40	-	ENSG00000127054	INTS11	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	7.198442e-05	3	3	2	3	2	2	1	0	1	1	0	1	0	0	0	1	20	3.087537e-06	3.812898e-07	1.198716e-06	0	0	0	3.920211e-06	0
chr1	  1390917	  1390937	chr1-2491	   15.90	-	ENSG00000221978	CCNL2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	4.513124e-05	3	3	3	1	2	2	1	1	1	1	1	0	0	0	0	0	19	6.175073e-07	3.812898e-07	2.397432e-06	0	0	0	2.613474e-06	0
chr1	  1391040	  1391060	chr1-748	   35.70	-	ENSG00000221978	CCNL2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0001642446	3	3	3	3	2	2	1	1	1	4	0	2	0	0	2	0	27	1.852522e-06	3.050318e-06	4.794864e-06	0	0	9.487936e-06	0	0
chr1	  1391202	  1391222	chr1-1060	   29.10	-	ENSG00000221978	CCNL2	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0001192887	3	3	3	3	2	2	1	0	1	3	2	0	0	0	1	1	25	6.792581e-06	1.143869e-06	1.198716e-06	0	0	0	2.613474e-06	0
chr1	  1392240	  1392260	chr1-402	   77.10	-	ENSG00000221978	CCNL2	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	0.0002296256	3	3	3	3	2	2	1	2	1	4	1	2	1	0	1	0	29	6.175073e-06	1.525159e-06	1.198716e-05	0	0	0	6.533684e-06	0
chr1	  1395462	  1395482	chr1-28437	    4.85	-	ENSG00000221978	CCNL2	3'UTR|CDS|CDS_Retained_intron	3'UTR	3'UTR	3	9.634313e-06	0	2	0	1	2	1	1	0	1	3	0	0	0	0	0	0	11	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  1477716	  1477736	chr1-843	   27.80	+	ENSG00000160072	ATAD3B	downstream 10K|intron	intron	intron	2	7.743887e-05	3	3	3	3	2	0	0	0	2	1	0	0	0	0	0	1	18	6.175073e-07	3.812898e-07	0	0	0	4.743968e-06	1.306737e-06	0
chr1	  1856833	  1856853	chr1-2381	   29.50	-	ENSG00000078369	GNB1	intron	intron	intron	1	6.511038e-05	3	3	3	3	2	1	1	0	1	2	2	1	0	0	1	0	23	2.470029e-06	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  1868833	  1868853	chr1-33190	    2.64	-	ENSG00000078369	GNB1	intron	intron	intron	1	5.37902e-06	2	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	6	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  1888018	  1888038	chr1-5492	    9.70	-	ENSG00000078369	GNB1	intron	intron	intron	1	3.034488e-05	2	3	2	2	1	1	1	0	2	2	1	0	0	0	0	0	17	0	3.812898e-07	1.198716e-06	0	0	4.743968e-06	2.613474e-06	0
chr1	  1889046	  1889066	chr1-11609	    8.81	-	ENSG00000078369	GNB1	intron	intron	intron	1	2.698693e-05	2	2	0	2	2	1	1	1	1	3	0	0	0	0	0	0	15	1.235015e-06	3.812898e-07	2.397432e-06	0	0	0	2.613474e-06	0
chr1	  2254507	  2254527	chr1-2173	   19.40	+	ENSG00000157933	SKI	intron	intron	intron	1	4.381746e-05	2	3	2	3	2	1	1	1	1	2	0	1	0	0	1	0	20	1.235015e-06	1.143869e-06	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  2307713	  2307733	chr1-532	   47.60	+	ENSG00000157933	SKI	3'UTR	3'UTR	3'UTR	1	0.0002407318	3	3	3	3	2	2	1	1	1	3	0	0	1	1	1	4	29	1.852522e-06	3.812898e-07	2.397432e-06	0	0	0	2.613474e-06	0
chr1	  2308619	  2308639	chr1-149	  119.90	+	ENSG00000157933	SKI	3'UTR	3'UTR	3'UTR	1	0.0003921727	3	3	3	3	2	2	1	1	1	3	0	2	2	1	1	3	31	3.087537e-06	1.143869e-06	3.596148e-06	0	0	0	2.613474e-06	0
chr1	  3812179	  3812199	chr1-18932	    4.41	-	ENSG00000116198	CEP104	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	1.408913e-05	0	0	0	0	2	1	1	1	1	0	0	2	0	0	0	0	8	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  6186472	  6186492	chr1-3723	   15.00	-	ENSG00000116251	RPL22	3'UTR|intron	3'UTR	3'UTR	2	5.441026e-05	2	2	3	3	2	1	1	0	1	1	0	0	0	0	0	2	18	6.175073e-07	3.812898e-07	1.198716e-06	0	0	4.743968e-06	0	0
chr1	  6646080	  6646100	chr1-7352	    8.81	-	ENSG00000007923	DNAJC11	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	2.097761e-05	2	1	2	3	2	0	1	0	1	0	0	0	0	0	0	0	12	1.235015e-06	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  8012243	  8012263	chr1-122	  249.00	-	ENSG00000116285	ERRFI1	3'UTR|intron	3'UTR	3'UTR	2	0.0008644778	3	3	3	3	2	2	1	1	2	3	1	2	1	2	4	5	38	9.880117e-06	1.525159e-06	8.391012e-06	0	0	1.897587e-05	1.04539e-05	0
chr1	  8012926	  8012946	chr1-15069	    4.85	-	ENSG00000116285	ERRFI1	3'UTR|intron	3'UTR	3'UTR	2	1.661518e-05	1	0	2	1	2	1	1	0	1	0	1	0	0	0	0	0	10	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  8020501	  8020521	chr1-617	   40.50	-	ENSG00000116285	ERRFI1	intron	intron	intron	1	0.0001107021	3	3	3	2	2	1	1	1	1	2	2	0	0	0	2	0	23	5.557566e-06	1.525159e-06	2.397432e-06	0	0	0	2.613474e-06	0
chr1	  8352424	  8352444	chr1-2398	   19.00	-	ENSG00000142599	RERE	3'UTR	3'UTR	3'UTR	1	6.776734e-05	2	3	3	3	1	2	1	1	2	4	1	1	0	0	1	1	26	1.235015e-06	0	1.198716e-06	0	0	4.743968e-06	1.306737e-06	0
chr1	  8381604	  8381624	chr1-1102	   30.00	-	ENSG00000142599	RERE	intron	intron	intron	1	0.0001081586	3	3	3	3	1	2	1	0	2	3	2	4	0	0	1	0	28	3.087537e-06	0	1.198716e-06	0	0	9.487936e-06	2.613474e-06	0
chr1	  8390706	  8390726	chr1-3168	   13.20	-	ENSG00000142599	RERE	intron	intron	intron	1	3.04556e-05	1	3	3	3	2	0	1	0	1	1	0	2	0	0	0	0	17	1.235015e-06	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  8390910	  8390930	chr1-1258	   22.90	-	ENSG00000142599	RERE	intron	intron	intron	1	7.068169e-05	2	3	2	3	2	2	1	1	1	3	1	1	0	0	0	1	23	3.705044e-06	3.812898e-07	3.596148e-06	0	0	4.743968e-06	0	0
chr1	  8405478	  8405498	chr1-896	   33.50	-	ENSG00000142599	RERE	intron	intron	intron	1	0.0001033202	3	3	3	3	2	2	1	0	1	4	0	1	0	0	0	2	25	3.087537e-06	3.812898e-07	4.794864e-06	0	0	4.743968e-06	0	0
chr1	  8415426	  8415446	chr1-20807	    3.97	-	ENSG00000142599	RERE	intron	intron	intron	1	1.71259e-05	1	0	0	0	2	1	1	0	1	0	1	0	0	0	1	0	8	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	2.613474e-06	0
chr1	  8452542	  8452562	chr1-1163	   29.10	-	ENSG00000142599	RERE	intron	intron	intron	1	6.668272e-05	3	3	2	3	2	2	1	0	1	2	0	1	0	0	0	0	20	6.175073e-07	1.143869e-06	1.198716e-06	0	0	0	2.613474e-06	0
chr1	  8520048	  8520068	chr1-2851	   18.10	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	5.64695e-05	3	3	1	3	2	0	2	0	1	3	1	0	0	0	2	0	21	1.235015e-06	3.812898e-07	1.198716e-06	8.267059e-06	0	0	1.306737e-06	0
chr1	  8550163	  8550183	chr1-4850	   12.80	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	6.288465e-05	0	2	3	2	2	2	2	0	0	0	0	0	0	1	0	0	14	6.175073e-07	7.625796e-07	1.198716e-06	1.653412e-05	0	0	0	0
chr1	  8572535	  8572555	chr1-4196	   13.70	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	3.136457e-05	3	2	3	2	2	1	1	0	1	3	1	0	0	0	0	0	19	1.852522e-06	3.812898e-07	1.198716e-06	0	0	0	2.613474e-06	0
chr1	  8575260	  8575280	chr1-13203	    6.61	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	1.692669e-05	1	1	0	0	2	1	1	0	1	0	1	0	0	0	0	0	8	1.852522e-06	3.812898e-07	3.596148e-06	0	0	0	2.613474e-06	0
chr1	  8586461	  8586481	chr1-10615	    6.61	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	1.840567e-05	2	2	1	0	2	1	0	0	2	0	0	0	0	0	0	1	11	2.470029e-06	3.812898e-07	0	0	0	4.743968e-06	1.306737e-06	0
chr1	  8604338	  8604358	chr1-5383	   11.00	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	3.015122e-05	3	3	2	3	2	1	0	0	2	1	0	1	0	0	0	0	18	1.235015e-06	3.812898e-07	0	0	0	4.743968e-06	1.306737e-06	0
chr1	  8680209	  8680229	chr1-3565	   13.20	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	2.986913e-05	3	2	2	3	2	1	1	0	1	1	0	0	0	0	0	0	16	6.175073e-07	3.812898e-07	1.198716e-06	0	0	4.743968e-06	0	0
chr1	  8694015	  8694035	chr1-809	   29.50	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	8.71893e-05	2	2	2	3	2	1	1	0	1	3	0	1	0	0	1	1	20	1.235015e-06	3.050318e-06	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  8714769	  8714789	chr1-17678	    3.97	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	1.751808e-05	2	1	1	0	2	0	1	0	2	1	1	0	0	0	0	0	11	6.175073e-07	3.812898e-07	1.198716e-06	0	0	4.743968e-06	1.306737e-06	0
chr1	  8751759	  8751779	chr1-159	   89.90	-	ENSG00000142599	RERE	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0002247557	3	3	3	3	2	2	1	2	1	3	2	2	0	1	1	1	30	5.557566e-06	1.906449e-06	0	8.267059e-06	0	4.743968e-06	0	0
chr1	  8752190	  8752210	chr1-2384	   16.30	-	ENSG00000142599	RERE	intron|TE|CDS_Retained_intron	TE	TE	3	3.640832e-05	3	2	2	3	2	1	1	1	1	3	0	0	0	0	0	0	19	6.175073e-07	1.525159e-06	2.397432e-06	0	0	0	1.306737e-06	0
chr1	  8756405	  8756425	chr1-9658	    7.05	-	ENSG00000142599	RERE	intron	intron	intron	1	1.804936e-05	1	3	1	3	2	1	1	0	1	1	1	0	0	0	0	0	15	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  8774763	  8774783	chr1-1088	   37.50	-	ENSG00000142599	RERE	intron	intron	intron	1	8.286354e-05	3	3	3	3	2	1	1	1	2	3	0	0	1	0	1	0	24	3.705044e-06	7.625796e-07	1.198716e-06	0	0	4.743968e-06	2.613474e-06	0
chr1	  8790356	  8790376	chr1-9894	    6.17	-	ENSG00000142599	RERE	intron	intron	intron	1	1.525973e-05	2	1	1	1	2	1	1	0	1	3	0	1	0	0	0	0	14	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	  9271310	  9271330	chr1-2712	   16.70	+	ENSG00000049239	H6PD	3'UTR	3'UTR	3'UTR	1	3.895328e-05	2	3	3	2	2	2	1	1	1	2	0	0	0	0	0	1	20	6.175073e-07	3.812898e-07	1.198716e-06	0	0	4.743968e-06	0	0
chr1	  9730072	  9730092	chr1-61	  297.00	-	ENSG00000171603	CLSTN1	3'UTR	3'UTR	3'UTR	1	0.001176855	3	3	3	3	2	2	2	1	2	4	1	2	2	1	3	5	39	2.099525e-05	4.956767e-06	1.917945e-05	8.267059e-06	0	9.487936e-06	2.352126e-05	0
chr1	 10129217	 10129237	chr1-15563	    5.29	+	ENSG00000130939	UBE4B	intron|TE|CDS_Retained_intron	TE	TE	3	1.668806e-05	2	1	1	3	2	1	0	0	2	1	0	0	0	0	0	0	13	6.175073e-07	3.812898e-07	0	0	0	4.743968e-06	1.306737e-06	0
chr1	 10149247	 10149267	chr1-5698	   12.80	+	ENSG00000130939	UBE4B	CDS	CDS	CDS	1	2.645576e-05	0	2	0	2	2	1	1	0	1	3	1	0	0	0	0	0	13	3.087537e-06	3.812898e-07	2.397432e-06	0	0	0	1.306737e-06	0
chr1	 10175822	 10175842	chr1-5278	   10.10	+	ENSG00000130939	UBE4B	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	3.091162e-05	2	3	3	3	2	0	1	0	1	4	0	0	0	0	0	0	19	6.175073e-07	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	 10180557	 10180577	chr1-62	  183.30	+	ENSG00000130939	UBE4B	3'UTR	3'UTR	3'UTR	1	0.0005974215	3	3	3	3	2	2	2	1	2	3	1	3	0	1	2	5	36	1.66727e-05	1.143869e-06	1.438459e-05	8.267059e-06	0	4.743968e-06	7.840421e-06	0
chr1	 10180651	 10180671	chr1-1608	   20.70	+	ENSG00000130939	UBE4B	3'UTR	3'UTR	3'UTR	1	0.0001922046	3	3	3	3	2	2	0	0	2	3	1	0	0	0	1	4	27	6.175073e-07	1.525159e-06	0	0	0	4.743968e-06	1.306737e-06	0
chr1	 10218862	 10218882	chr1-3919	   13.20	+	ENSG00000054523	KIF1B	intron	intron	intron	1	4.467262e-05	2	3	0	3	1	2	2	1	1	3	0	0	0	0	1	0	19	1.852522e-06	0	2.397432e-06	8.267059e-06	0	0	1.306737e-06	0
chr1	 10278275	 10278295	chr1-1840	   20.70	+	ENSG00000054523	KIF1B	downstream 10K|intron|Other	Other	Other	3	7.066165e-05	3	3	2	3	2	1	1	0	1	3	0	0	0	0	1	1	21	6.175073e-07	1.143869e-06	1.198716e-06	0	0	0	1.306737e-06	0
chr1	 10290175	 10290195	chr1-1544	   22.00	+	ENSG00000054523	KIF1B	downstream 10K|intron|CDS_Retained_intron	CDS_RI	intron	3	5.169589e-05	2	3	2	3	2	2	1	0	1	2	1	0	0	0	0	0	19	3.705044e-06	7.625796e-07	1.198716e-06	0	0	0	6.533684e-06	0
chr1	 10298999	 10299019	chr1-483	   44.10	+	ENSG00000054523	KIF1B	downstream 10K|intron|snRNA	snRNA	ncRNA	3	0.0002230035	3	3	3	1	1	2	2	1	1	4	2	2	2	2	0	1	30	0	2.592771e-05	1.198716e-06	8.267059e-06	0	0	3.920211e-06	0
chr1	 10400673	 10400693	chr1-334	   91.70	+	ENSG00000142657	PGD	downstream 10K|intron	intron	intron	2	0.0002181855	3	3	3	3	2	2	1	1	1	3	2	1	0	0	1	0	26	3.087537e-06	3.812898e-07	1.198716e-06	0	0	0	7.840421e-06	0
chr1	 10461298	 10461318	chr1-1812	   19.00	-	ENSG00000160049	DFFA	3'UTR	3'UTR	3'UTR	1	4.16824e-05	1	3	3	3	2	1	1	0	1	2	0	0	0	0	0	1	18	1.852522e-06	3.812898e-07	1.198716e-06	0	0	0	1.306737e-06	0
chr1	 11023133	 11023153	chr1-321	   66.50	+	ENSG00000120948	TARDBP	3'UTR|intron	3'UTR	3'UTR	2	0.0002896244	3	3	3	3	2	1	1	1	2	4	1	1	0	0	1	3	29	2.470029e-06	3.812898e-07	7.192296e-06	0	0	4.743968e-06	5.226948e-06	0
chr1	 11024294	 11024314	chr1-1298	   32.20	+	ENSG00000120948	TARDBP	3'UTR|intron	3'UTR	3'UTR	2	0.0001273744	2	3	3	3	2	1	1	0	2	2	0	1	0	0	1	3	24	1.852522e-06	7.625796e-07	1.198716e-06	0	0	4.743968e-06	2.613474e-06	0
chr1	 11025053	 11025073	chr1-677	   34.40	+	ENSG00000120948	TARDBP	3'UTR|intron	3'UTR	3'UTR	2	8.577194e-05	3	3	3	3	2	1	1	1	2	2	0	0	0	0	1	0	22	1.235015e-06	1.143869e-06	3.596148e-06	0	0	4.743968e-06	1.306737e-06	0
chr1	 11822131	 11822151	chr1-1956	   22.90	+	ENSG00000011021	CLCN6	intron|TE	TE	TE	2	5.280919e-05	2	3	2	3	1	2	1	1	2	2	0	0	0	0	0	0	19	0	3.812898e-07	1.198716e-06	0	0	4.743968e-06	3.920211e-06	0
chr1	 12598369	 12598389	chr1-1879	   17.60	-	ENSG00000162496	DHRS3	intron|CDS_Retained_intron	CDS_RI	intron	2	4.370155e-05	3	3	3	2	1	1	1	0	2	1	0	0	0	0	0	0	17	6.175073e-07	0	1.198716e-06	0	0	4.743968e-06	1.306737e-06	0
chr1	 12614495	 12614515	chr1-673	   44.50	-	ENSG00000162496	DHRS3	intron|CDS_Retained_intron	CDS_RI	intron	2	8.733945e-05	3	3	2	3	2	2	1	1	1	3	0	1	0	0	1	0	23	1.235015e-06	7.625796e-07	2.397432e-06	0	0	0	1.306737e-06	0
chr1	 13757802	 13757822	chr1-1683	   22.90	+	ENSG00000116731	PRDM2	downstream 10K|intron|lncRNA|CDS_Retained_intron	lncRNA	ncRNA	4	5.7343e-05	2	3	2	3	2	2	0	0	2	3	1	0	0	0	0	0	20	1.852522e-06	1.525159e-06	0	0	0	4.743968e-06	5.226948e-06	0
chr1	 13782929	 13782949	chr1-1079	   24.20	+	ENSG00000116731	PRDM2	downstream 10K|intron|Other	Other	Other	3	5.386254e-05	3	3	3	3	2	1	1	0	1	3	0	0	0	0	0	1	21	1.852522e-06	1.906449e-06	4.794864e-06	0	0	0	2.613474e-06	0
chr1	 13787072	 13787092	chr1-565	   60.80	+	ENSG00000116731	PRDM2	3'UTR|intron|Other	3'UTR	3'UTR	3	0.0002237354	3	3	3	3	2	2	1	1	2	4	0	1	1	1	1	2	30	6.175073e-06	7.625796e-07	5.99358e-06	0	0	4.743968e-06	2.613474e-06	0
chr1	 15633730	 15633750	chr1-12632	    7.49	+	ENSG00000197312	DDI2	intron|CDS_Retained_intron	CDS_RI	intron	2	3.997782e-05	1	0	2	1	1	1	1	1	2	2	0	0	1	0	0	0	13	2.470029e-06	0	2.397432e-06	0	0	4.743968e-06	1.306737e-06	0
chr1	 15642447	 15642467	chr1-5007	   10.10	+	ENSG00000197312	DDI2	downstream 10K|intron	intron	intron	2	2.674571e-05	1	3	2	3	1	2	1	0	2	2	0	0	0	0	0	0	17	1.235015e-06	0	2.397432e-06	0	0	4.743968e-06	1.306737e-06	0
chr1	 15666513	 15666533	chr1-989	   27.80	+	ENSG00000197312	DDI2	3'UTR	3'UTR	3'UTR	1	0.0001453068	2	3	3	3	2	2	1	1	1	4	0	0	0	0	2	2	26	6.175073e-07	3.812898e-07	1.198716e-06	0	0	4.743968e-06	0	0
chr1	 15668165	 15668185	chr1-808	   31.30	+	ENSG00000197312	DDI2	3'UTR	3'UTR	3'UTR	1	0.0001077756	3	3	3	3	2	2	1	1	1	3	0	0	0	0	1	2	25	4.322551e-06	3.812898e-07	8.391012e-06	0	0	0	1.306737e-06	0
chr1	 15668973	 15668993	chr1-89	  140.10	+	ENSG00000197312	DDI2	3'UTR	3'UTR	3'UTR	1	0.0004501981	3	3	3	3	2	2	2	0	1	3	1	1	1	0	2	4	31	1.852522e-06	1.143869e-06	1.198716e-06	2.480118e-05	0	0	1.306737e-06	0
chr1	 16124378	 16124398	chr1-98	  167.90	-	ENSG00000142627	EPHA2	3'UTR	3'UTR	3'UTR	1	0.0009334687	3	3	3	3	2	2	2	2	3	4	1	2	2	0	5	4	41	2.470029e-06	3.431608e-06	3.596148e-06	1.653412e-05	0	4.743968e-06	7.840421e-06	4.44919e-05
chr1	 16249762	 16249782	chr1-1231	   26.00	-	ENSG00000037637	FBXO42	3'UTR	3'UTR	3'UTR	1	6.535098e-05	1	3	3	3	2	2	1	0	1	2	0	1	0	1	1	0	21	6.175073e-07	3.812898e-07	2.397432e-06	0	0	0	1.306737e-06	0
chr1	 16265758	 16265778	chr1-3057	   12.30	-	ENSG00000037637	FBXO42	intron	intron	intron	1	3.004128e-05	2	3	3	2	2	2	1	0	1	1	0	0	0	0	1	0	18	1.235015e-06	3.812898e-07	1.198716e-06	0	0	0	3.920211e-06	0
chr1	 16313242	 16313262	chr1-2826	   15.00	-	ENSG00000037637	FBXO42	intron	intron	intron	1	4.523696e-05	3	2	1	2	2	1	1	1	1	1	0	0	0	0	1	1	17	1.235015e-06	3.812898e-07	1.198716e-06	0	0	0	2.613474e-06	0
chr1	 16372624	 16372644	chr1-7092	    6.61	+	ENSG00000055070	SZRD1	intron	intron	intron	1	2.924953e-05	1	3	2	2	1	1	1	0	2	1	0	0	0	0	0	0	14	1.235015e-06	0	1.198716e-06	0	0	9.487936e-06	2.613474e-06	0
chr1	 16395635	 16395655	chr1-379	   56.40	+	ENSG00000055070	SZRD1	3'UTR|Other	3'UTR	3'UTR	2	0.0001912088	3	3	3	3	2	2	1	1	2	2	3	0	0	0	1	2	28	4.322551e-06	3.812898e-07	1.198716e-06	0	0	9.487936e-06	2.613474e-06	0
chr1	 16514253	 16514273	chr1-623	   77.10	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0008492157	3	3	1	3	2	2	2	2	3	3	4	4	2	2	4	3	43	6.792581e-06	2.058965e-05	4.794864e-06	8.267059e-06	5.063804e-05	9.487936e-06	6.533684e-06	0
chr1	 16525557	 16525577	chr1-49455	    2.64	-				UnAn	UnAn	0	5.871168e-05	0	0	0	0	1	1	0	0	3	1	0	0	0	0	0	0	6	0	3.812898e-07	0	0	5.063804e-05	4.743968e-06	1.306737e-06	0
chr1	 16666816	 16666836	chr1-1430	   26.40	-	ENSG00000207513	RNU1-3	snRNA	snRNA	ncRNA	1	0.0001127572	2	2	1	2	2	2	2	1	2	1	3	3	1	2	0	2	28	6.175073e-07	9.532245e-06	2.397432e-06	8.267059e-06	0	4.743968e-06	1.306737e-06	0
