chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_S_1	G3BP_E_S_2	G3BP_E_S_3	G3BP_E_S_4	G3BP_E_S_5	G3BP_E_S_6	G3BP_E_S_7
chr1	  9730072	  9730092	chr1-61	  297.00	-	ENSG00000171603	CLSTN1	3'UTR	3'UTR	3'UTR	1	0.001176855	3	3	3	3	2	2	2	1	2	4	1	2	2	1	3	5	39	0	4.96154e-06	7.628754e-06	9.018454e-05	0.0001781769	0	4.480889e-05
chr1	 10180315	 10180335	chr1-1181	   30.80	+	ENSG00000130939	UBE4B	3'UTR	3'UTR	3'UTR	1	0.0002190362	2	3	3	3	1	1	1	1	1	3	1	0	0	2	0	3	25	0	0	0	2.254614e-05	3.563538e-05	2.561957e-05	0
chr1	 10180557	 10180577	chr1-62	  183.30	+	ENSG00000130939	UBE4B	3'UTR	3'UTR	3'UTR	1	0.0005974215	3	3	3	3	2	2	2	1	2	3	1	3	0	1	2	5	36	0	1.488462e-05	2.670064e-05	1.127307e-05	0.0001069061	1.707971e-05	0
chr1	 10180651	 10180671	chr1-1608	   20.70	+	ENSG00000130939	UBE4B	3'UTR	3'UTR	3'UTR	1	0.0001922046	3	3	3	3	2	2	0	0	2	3	1	0	0	0	1	4	27	7.605141e-05	4.96154e-06	5.721566e-06	0	0	0	2.987259e-05
chr1	 10459713	 10459733	chr1-116	  120.80	-	ENSG00000160049	DFFA	3'UTR	3'UTR	3'UTR	1	0.0004525232	3	3	3	3	1	2	1	1	1	3	0	2	1	0	3	4	31	0	2.646155e-05	1.525751e-05	0	3.563538e-05	8.539856e-06	0
chr1	 10583384	 10583404	chr1-25535	    3.97	-			TE|unannotated	TE	TE	2	8.605623e-05	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	3	8	7.605141e-05	1.653847e-06	1.907189e-06	0	0	0	0
chr1	 10587905	 10587925	chr1-1656	   32.60	-			unannotated	UnAn	UnAn	1	0.0004629832	1	0	2	1	1	1	1	1	0	1	2	2	0	2	4	3	22	0.0001521028	1.984616e-05	4.386534e-05	0	0	0	0
chr1	 10636639	 10636659	chr1-344	   66.50	-	ENSG00000130940	CASZ1	3'UTR	3'UTR	3'UTR	1	0.0001774114	3	3	3	3	2	1	1	0	0	3	0	0	0	0	0	3	22	0	8.269233e-06	3.432939e-05	2.254614e-05	0	0	0
chr1	 11023133	 11023153	chr1-321	   66.50	+	ENSG00000120948	TARDBP	3'UTR|intron	3'UTR	3'UTR	2	0.0002896244	3	3	3	3	2	1	1	1	2	4	1	1	0	0	1	3	29	0	9.92308e-06	1.907189e-06	0	3.563538e-05	0	0
chr1	 11024294	 11024314	chr1-1298	   32.20	+	ENSG00000120948	TARDBP	3'UTR|intron	3'UTR	3'UTR	2	0.0001273744	2	3	3	3	2	1	1	0	2	2	0	1	0	0	1	3	24	0	1.653847e-06	0	2.254614e-05	0	8.539856e-06	0
chr1	 11282560	 11282580	chr1-22987	    5.29	-			TE	TE	TE	1	3.788556e-05	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	4	9	0	3.307693e-06	3.814377e-06	0	0	8.539856e-06	1.49363e-05
chr1	 12928920	 12928940	chr1-1754	   27.80	+			downstream 10K|Other	Other	Other	2	0.0005752973	1	1	1	0	1	1	0	0	0	1	2	1	0	2	3	4	18	0.0003042056	2.48077e-05	3.051502e-05	0	0	8.539856e-06	0
chr1	 13272855	 13272875	chr1-1639	   26.40	-			downstream 10K	DS10K	DS10K	1	0.0004112	0	1	0	1	1	1	0	0	0	2	1	1	0	2	3	3	16	0.0001521028	2.315385e-05	2.670064e-05	0	0	0	0
chr1	 14728286	 14728306	chr1-33977	    3.53	+	ENSG00000189337	KAZN	intron|TE|CDS_Retained_intron	TE	TE	3	2.229567e-05	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	3	6	0	1.653847e-06	1.907189e-06	0	0	0	1.49363e-05
chr1	 15430300	 15430320	chr1-3737	   15.40	+	ENSG00000142634	EFHD2	3'UTR	3'UTR	3'UTR	1	5.786415e-05	1	3	3	2	1	2	0	1	0	2	0	0	0	0	1	3	19	0	1.653847e-06	1.907189e-06	0	0	8.539856e-06	0
chr1	 15536628	 15536648	chr1-7062	    8.37	+	ENSG00000116138	DNAJC16	5'UTR|CDS	5'UTR	5'UTR	2	3.683882e-05	1	1	2	2	0	1	0	0	1	3	0	0	0	1	0	3	15	0	1.653847e-06	3.814377e-06	1.127307e-05	0	0	0
chr1	 15632918	 15632938	chr1-3789	   16.30	-			TE|unannotated	TE	TE	2	0.000316495	0	0	0	1	1	1	0	0	0	2	1	1	0	2	3	4	16	7.605141e-05	3.307693e-06	2.097907e-05	0	0	0	1.49363e-05
chr1	 15668973	 15668993	chr1-89	  140.10	+	ENSG00000197312	DDI2	3'UTR	3'UTR	3'UTR	1	0.0004501981	3	3	3	3	2	2	2	0	1	3	1	1	1	0	2	4	31	0	2.646155e-05	5.721566e-06	1.127307e-05	0	5.123913e-05	0
chr1	 16124378	 16124398	chr1-98	  167.90	-	ENSG00000142627	EPHA2	3'UTR	3'UTR	3'UTR	1	0.0009334687	3	3	3	3	2	2	2	2	3	4	1	2	2	0	5	4	41	0	1.653847e-05	1.71647e-05	2.254614e-05	7.127076e-05	0	0
chr1	 16514253	 16514273	chr1-623	   77.10	-	ENSG00000206652	RNU1-1	snRNA	snRNA	ncRNA	1	0.0008492157	3	3	1	3	2	2	2	2	3	3	4	4	2	2	4	3	43	7.605141e-05	3.307693e-06	0	2.254614e-05	0	0	0
chr1	 16684398	 16684418	chr1-993	   35.30	-	ENSG00000280114		intron	intron	intron	1	0.0001927976	3	2	3	3	2	1	1	1	1	3	1	0	1	0	2	3	27	0	3.307693e-06	5.721566e-06	2.254614e-05	0	0	0
chr1	 16740528	 16740548	chr1-566	   81.50	+	ENSG00000058453	CROCC	intron|lncRNA|snRNA	lncRNA	ncRNA	3	0.0007500836	3	3	1	3	2	2	2	1	2	4	4	4	2	3	2	3	41	7.605141e-05	1.653847e-06	0	0	3.563538e-05	0	0
chr1	 17406793	 17406813	chr1-1269	   23.40	-	ENSG00000179051	RCC2	3'UTR	3'UTR	3'UTR	1	0.0001154437	3	3	3	3	1	2	0	0	1	3	0	0	0	0	1	3	23	0	6.615386e-06	1.335032e-05	0	3.563538e-05	0	0
chr1	 17408758	 17408778	chr1-424	   68.80	-	ENSG00000179051	RCC2	3'UTR|intron	3'UTR	3'UTR	2	0.0002684662	3	3	3	3	2	2	1	1	0	3	2	1	1	0	2	3	30	0	3.307693e-06	9.535943e-06	0	0	0	1.49363e-05
chr1	 17408858	 17408878	chr1-316	   92.50	-	ENSG00000179051	RCC2	3'UTR|intron	3'UTR	3'UTR	2	0.0003384223	3	3	3	3	2	2	1	1	0	4	1	2	2	0	3	3	33	0	6.615386e-06	2.479345e-05	2.254614e-05	0	0	0
chr1	 18465265	 18465285	chr1-7813	   11.90	+			TE|unannotated	TE	TE	2	3.973156e-05	1	2	3	3	0	1	0	0	0	1	1	1	0	0	2	3	18	0	4.96154e-06	1.907189e-06	0	0	8.539856e-06	0
chr1	 18485895	 18485915	chr1-441	   87.30	+	ENSG00000179023	KLHDC7A	3'UTR	3'UTR	3'UTR	1	0.0002129019	1	3	3	3	1	2	0	1	1	3	0	0	2	1	1	4	26	0	3.307693e-06	1.144313e-05	1.127307e-05	0	8.539856e-06	0
chr1	 18512191	 18512211	chr1-13880	    6.61	+			Other	Other	Other	1	2.700726e-05	1	0	1	0	1	1	0	0	0	1	0	1	0	2	0	3	11	0	1.653847e-06	3.814377e-06	0	0	8.539856e-06	0
chr1	 19338860	 19338880	chr1-54	  224.30	-	ENSG00000077549	CAPZB	3'UTR	3'UTR	3'UTR	1	0.0006258018	3	3	3	3	1	2	0	1	3	4	1	2	0	2	1	4	33	0	1.157693e-05	1.144313e-05	0	0	8.539856e-06	4.480889e-05
chr1	 20483109	 20483129	chr1-44	  199.20	-	ENSG00000162545	CAMK2N1	3'UTR	3'UTR	3'UTR	1	0.0007424832	3	3	3	3	2	2	2	0	1	3	0	3	1	1	2	4	33	0	3.307693e-06	5.721566e-06	2.254614e-05	3.563538e-05	0	0
chr1	 20743046	 20743066	chr1-351	   65.20	-	ENSG00000127483	HP1BP3	3'UTR	3'UTR	3'UTR	1	0.0002008862	3	3	3	3	2	2	1	1	2	3	0	1	0	1	0	3	28	0	3.307693e-06	0	1.127307e-05	0	0	1.49363e-05
chr1	 20744453	 20744473	chr1-978	   37.50	-	ENSG00000127483	HP1BP3	3'UTR|intron	3'UTR	3'UTR	2	0.0001500797	3	3	3	3	2	2	1	0	1	4	1	0	0	0	0	3	26	0	0	1.907189e-06	2.254614e-05	0	0	1.49363e-05
chr1	 20806967	 20806987	chr1-512	   79.80	-	ENSG00000075151	EIF4G3	3'UTR	3'UTR	3'UTR	1	0.0003644247	2	3	3	3	2	1	1	1	1	4	2	2	1	3	1	4	34	0	1.653847e-06	1.907189e-06	1.127307e-05	3.563538e-05	0	0
chr1	 20807037	 20807057	chr1-253	   74.90	-	ENSG00000075151	EIF4G3	3'UTR	3'UTR	3'UTR	1	0.0002290972	3	3	3	3	2	2	1	1	0	4	1	2	0	0	1	5	31	0	4.96154e-06	3.814377e-06	1.127307e-05	0	8.539856e-06	2.987259e-05
chr1	 21219526	 21219546	chr1-295	  143.70	-	ENSG00000117298	ECE1	3'UTR|intron	3'UTR	3'UTR	2	0.0003750837	3	3	3	3	2	2	1	1	2	4	1	1	1	1	2	3	33	0	0	1.335032e-05	1.127307e-05	0	0	1.49363e-05
chr1	 21459531	 21459551	chr1-4307	   27.30	-				UnAn	UnAn	0	0.0002154226	3	3	2	3	2	1	1	1	2	3	1	1	0	1	1	3	28	0	1.653847e-06	1.907189e-06	2.254614e-05	0	0	0
chr1	 22031048	 22031068	chr1-384	   63.90	+	ENSG00000218510	LINC00339	intron|Other|lncRNA	lncRNA	ncRNA	3	0.0004185133	3	3	3	3	1	2	1	1	2	5	2	1	0	1	2	4	34	0	1.653847e-05	1.335032e-05	0	3.563538e-05	0	1.49363e-05
chr1	 22091615	 22091635	chr1-1186	   27.30	+	ENSG00000070831	CDC42	3'UTR	3'UTR	3'UTR	1	0.0002130052	1	3	3	3	2	2	0	1	0	3	0	0	1	0	1	4	24	0	6.615386e-06	1.907189e-06	3.38192e-05	3.563538e-05	0	0
chr1	 22091811	 22091831	chr1-4	 1036.60	+	ENSG00000070831	CDC42	3'UTR|Other	3'UTR	3'UTR	2	0.00333069	3	3	3	3	2	2	2	2	2	4	2	4	2	4	4	6	48	0	8.600002e-05	3.814377e-05	6.763841e-05	7.127076e-05	0.0001110181	0.0001792356
chr1	 22092008	 22092028	chr1-526	   48.50	+	ENSG00000070831	CDC42	3'UTR	3'UTR	3'UTR	1	0.0003458789	2	3	3	3	2	2	1	1	2	4	2	1	0	2	3	5	36	0	4.96154e-06	5.721566e-06	2.254614e-05	3.563538e-05	1.707971e-05	0
chr1	 22092794	 22092814	chr1-1477	   25.10	+	ENSG00000070831	CDC42	3'UTR	3'UTR	3'UTR	1	0.0001180973	2	1	3	3	2	2	1	0	1	3	1	0	1	0	1	3	24	0	3.307693e-06	3.814377e-06	0	0	0	1.49363e-05
chr1	 22194605	 22194625	chr1-30545	    3.08	-			TE|unannotated	TE	TE	2	2.453361e-05	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	5	0	3.307693e-06	3.814377e-06	0	0	0	1.49363e-05
chr1	 23259684	 23259704	chr1-3911	   54.20	+			Other|unannotated	Other	Other	2	0.0001774257	0	0	0	0	2	2	1	1	2	3	3	3	1	1	2	3	24	0	1.819231e-05	1.907189e-05	0	0	8.539856e-06	0
chr1	 23310094	 23310114	chr1-348	   78.00	-	ENSG00000125944	HNRNPR	3'UTR|intron	3'UTR	3'UTR	2	0.0002148283	2	3	3	3	2	2	0	2	1	3	0	2	1	0	1	3	28	0	1.323077e-05	1.907189e-06	1.127307e-05	0	0	0
chr1	 23561988	 23562008	chr1-5944	    8.81	-				UnAn	UnAn	0	6.106111e-05	2	2	1	2	0	0	0	1	0	1	0	0	0	0	0	3	12	0	0	9.535943e-06	0	0	1.707971e-05	1.49363e-05
chr1	 23787736	 23787756	chr1-265	   97.00	+	ENSG00000057757	PITHD1	3'UTR|Other	3'UTR	3'UTR	2	0.000302339	3	3	3	3	2	2	0	1	2	2	0	1	0	1	2	3	28	0	3.307693e-06	0	0	0	1.707971e-05	1.49363e-05
chr1	 23969332	 23969352	chr1-872	   29.50	-	ENSG00000188529	SRSF10	3'UTR|intron	3'UTR	3'UTR	2	9.820995e-05	3	3	3	3	2	2	0	0	0	3	2	1	0	0	1	3	26	0	1.653847e-06	3.814377e-06	0	0	8.539856e-06	0
chr1	 24536829	 24536849	chr1-313	   75.40	+	ENSG00000117602	RCAN3	3'UTR	3'UTR	3'UTR	1	0.0002549734	2	3	3	3	1	1	1	1	1	3	0	1	1	2	1	3	27	0	3.307693e-06	1.907189e-06	1.127307e-05	0	0	0
chr1	 24537278	 24537298	chr1-501	   42.70	+	ENSG00000117602	RCAN3	3'UTR	3'UTR	3'UTR	1	0.0001477431	2	3	3	3	1	2	0	0	2	3	0	0	0	1	0	4	24	0	1.653847e-06	1.335032e-05	1.127307e-05	0	8.539856e-06	0
chr1	 24537588	 24537608	chr1-1211	   33.90	+	ENSG00000117602	RCAN3	3'UTR	3'UTR	3'UTR	1	0.0001189101	1	2	3	3	1	1	1	1	1	3	0	0	1	0	1	3	22	0	1.653847e-06	1.907189e-06	2.254614e-05	0	0	0
chr1	 24672679	 24672699	chr1-672	   45.00	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.0002147536	3	3	3	3	1	1	2	2	0	4	0	1	0	0	2	3	28	0	6.615386e-06	7.628754e-06	1.127307e-05	0	0	0
chr1	 24672754	 24672774	chr1-937	   80.70	+	ENSG00000133226	SRRM1	3'UTR	3'UTR	3'UTR	1	0.0003775743	3	3	3	3	2	2	1	1	1	3	2	1	2	0	3	4	34	0	3.307693e-06	5.721566e-06	2.254614e-05	7.127076e-05	0	0
chr1	 24672984	 24673004	chr1-12	  415.60	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.001487854	3	3	3	3	2	2	2	2	3	4	4	3	3	3	3	6	49	7.605141e-05	2.48077e-05	1.525751e-05	5.636534e-05	0	4.269928e-05	2.987259e-05
chr1	 24673200	 24673220	chr1-56	  152.50	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.0006324224	3	3	3	3	2	2	1	1	2	4	3	2	2	0	3	4	38	0	3.307693e-05	3.242221e-05	0	0	3.415942e-05	0.0001045541
chr1	 24842225	 24842245	chr1-353	   78.00	+	ENSG00000169504	CLIC4	3'UTR	3'UTR	3'UTR	1	0.0002294517	3	3	3	3	1	2	1	1	1	4	1	0	0	0	1	3	27	0	9.92308e-06	9.535943e-06	1.127307e-05	0	0	0
chr1	 24842412	 24842432	chr1-3507	   12.80	+	ENSG00000169504	CLIC4	3'UTR	3'UTR	3'UTR	1	7.420426e-05	0	1	2	3	1	1	1	0	1	1	0	0	0	0	2	3	16	0	0	1.907189e-06	1.127307e-05	3.563538e-05	0	0
chr1	 24842715	 24842735	chr1-730	   37.50	+	ENSG00000169504	CLIC4	3'UTR|intron	3'UTR	3'UTR	2	0.0004983933	2	3	3	3	2	2	1	1	2	4	2	0	1	2	2	5	35	0	1.653847e-06	5.721566e-06	3.38192e-05	3.563538e-05	0	1.49363e-05
chr1	 24843412	 24843432	chr1-2470	   19.40	+	ENSG00000169504	CLIC4	3'UTR|intron	3'UTR	3'UTR	2	0.0001007274	2	2	3	3	1	2	0	0	0	2	0	1	0	0	1	3	20	0	0	1.907189e-06	2.254614e-05	3.563538e-05	0	0
chr1	 24844195	 24844215	chr1-761	   47.60	+	ENSG00000169504	CLIC4	3'UTR	3'UTR	3'UTR	1	0.0001585141	2	3	3	3	1	2	1	1	1	3	0	0	0	0	0	5	25	0	3.307693e-06	1.907189e-06	2.254614e-05	3.563538e-05	8.539856e-06	0
chr1	 25500166	 25500186	chr1-914	   45.80	+	ENSG00000204178	MACO1	3'UTR	3'UTR	3'UTR	1	0.0001127817	3	3	3	3	1	1	1	0	1	2	0	0	0	1	1	3	23	0	8.269233e-06	0	1.127307e-05	0	8.539856e-06	0
chr1	 25892384	 25892404	chr1-13290	    6.61	-	ENSG00000117632	STMN1	downstream 10K|intron	intron	intron	2	9.134417e-05	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	3	7	7.605141e-05	1.653847e-06	5.721566e-06	0	0	0	0
chr1	 25900841	 25900861	chr1-554	   60.80	-	ENSG00000117632	STMN1	3'UTR|intron	3'UTR	3'UTR	2	0.0001570891	0	3	3	3	2	2	1	0	1	3	1	0	0	2	0	3	24	0	9.92308e-06	1.907189e-06	0	0	8.539856e-06	0
chr1	 25900920	 25900940	chr1-225	  115.90	-	ENSG00000117632	STMN1	3'UTR|intron	3'UTR	3'UTR	2	0.0003699057	2	3	3	3	1	2	1	1	2	3	0	1	1	1	0	3	27	0	0	5.721566e-06	3.38192e-05	3.563538e-05	0	0
chr1	 26123217	 26123237	chr1-1955	   17.60	+	ENSG00000175087	PDIK1L	3'UTR	3'UTR	3'UTR	1	8.880804e-05	3	2	3	3	2	2	1	1	1	3	1	0	1	0	0	3	26	0	6.615386e-06	3.814377e-06	2.254614e-05	0	0	0
chr1	 26475252	 26475272	chr1-3	 1345.50	+	ENSG00000198830	HMGN2	3'UTR|Other	3'UTR	3'UTR	2	0.004038086	3	3	3	3	2	2	2	2	3	4	4	3	2	4	4	7	51	7.605141e-05	0.0002067308	0.0001373176	4.509227e-05	3.563538e-05	0.0001537174	0.000149363
chr1	 26781052	 26781072	chr1-346	   97.40	+	ENSG00000117713	ARID1A	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0002879731	3	3	3	3	2	2	1	1	1	4	1	3	0	0	1	3	31	0	1.653847e-06	9.535943e-06	0	0	8.539856e-06	0
chr1	 26781691	 26781711	chr1-630	   43.60	+	ENSG00000117713	ARID1A	3'UTR	3'UTR	3'UTR	1	0.0001958087	1	3	3	3	2	1	1	0	1	3	1	1	0	0	1	5	26	0	3.307693e-06	1.907189e-06	4.509227e-05	3.563538e-05	8.539856e-06	0
chr1	 26781865	 26781885	chr1-33	  261.30	+	ENSG00000117713	ARID1A	3'UTR	3'UTR	3'UTR	1	0.0008415737	3	3	3	3	2	2	2	2	2	4	3	2	1	2	2	6	42	0	1.323077e-05	9.535943e-06	2.254614e-05	3.563538e-05	5.123913e-05	2.987259e-05
chr1	 27208506	 27208526	chr1-7259	    7.93	+				UnAn	UnAn	0	3.910895e-05	1	1	2	3	2	1	0	0	1	2	0	0	0	0	0	4	17	0	1.653847e-06	1.907189e-06	1.127307e-05	0	8.539856e-06	0
chr1	 28095487	 28095507	chr1-18539	    3.53	-				UnAn	UnAn	0	2.545248e-05	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	3	9	0	1.653847e-06	1.907189e-06	0	0	0	1.49363e-05
chr1	 28507544	 28507564	chr1-1306	  142.80	+	ENSG00000180198	RCC1	downstream 10K|intron|lncRNA|snoRNA|ncRNA_Retained_intron	lncRNA	ncRNA	5	0.0007232589	3	3	3	2	2	2	2	2	3	4	4	3	2	3	2	3	43	7.605141e-05	1.653847e-06	0	0	0	0	1.49363e-05
chr1	 28603393	 28603413	chr1-260	   94.30	-	ENSG00000120656	TAF12	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0003303128	3	2	3	3	2	2	1	1	1	3	0	2	0	0	2	5	30	0	1.323077e-05	1.144313e-05	3.38192e-05	3.563538e-05	8.539856e-06	0
chr1	 29147798	 29147818	chr1-102	  123.40	-	ENSG00000116350	SRSF4	3'UTR	3'UTR	3'UTR	1	0.0003918286	3	3	3	3	2	2	1	2	1	4	1	1	0	0	1	3	30	0	8.269233e-06	0	2.254614e-05	0	1.707971e-05	0
chr1	 31259792	 31259812	chr1-163	  167.50	-	ENSG00000060688	SNRNP40	3'UTR	3'UTR	3'UTR	1	0.0007094278	3	3	3	3	2	2	2	1	2	4	2	4	0	2	3	5	41	0	1.653847e-06	3.814377e-06	4.509227e-05	7.127076e-05	3.415942e-05	0
chr1	 31629910	 31629930	chr1-983	   30.00	-	ENSG00000162517	PEF1	3'UTR	3'UTR	3'UTR	1	9.23411e-05	2	3	3	3	1	1	0	1	0	3	0	0	0	1	1	3	22	0	6.615386e-06	1.907189e-06	0	0	0	1.49363e-05
chr1	 31906534	 31906554	chr1-178	  108.90	-	ENSG00000184007	PTP4A2	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.0003946171	3	3	3	3	2	1	1	1	2	3	0	1	1	0	1	4	29	0	4.96154e-06	0	3.38192e-05	7.127076e-05	0	1.49363e-05
chr1	 31907984	 31908004	chr1-50	  237.10	-	ENSG00000184007	PTP4A2	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.0007516928	3	3	3	3	2	2	2	1	2	4	0	1	1	3	3	6	39	0	1.157693e-05	5.721566e-06	1.127307e-05	7.127076e-05	8.539856e-06	2.987259e-05
chr1	 31919092	 31919112	chr1-63	  154.20	-	ENSG00000184007	PTP4A2	5'UTR|intron|lncRNA|CDS_Retained_intron	5'UTR	5'UTR	4	0.0006067017	3	3	3	3	2	2	2	1	1	4	0	1	1	1	1	3	31	0	3.307693e-06	0	6.763841e-05	7.127076e-05	0	0
chr1	 31919315	 31919335	chr1-1044	   23.40	-	ENSG00000184007	PTP4A2	5'UTR|intron|lncRNA	5'UTR	5'UTR	3	0.0001767123	2	1	3	3	1	2	0	2	0	4	0	0	0	0	0	4	22	0	1.653847e-06	1.907189e-06	3.38192e-05	0	8.539856e-06	0
chr1	 31919439	 31919459	chr1-143	   89.50	-	ENSG00000184007	PTP4A2	5'UTR|intron|lncRNA	5'UTR	5'UTR	3	0.000589507	3	3	3	3	2	2	1	1	2	3	0	2	2	1	3	5	36	0	1.323077e-05	3.432939e-05	2.254614e-05	0	8.539856e-06	1.49363e-05
chr1	 32042886	 32042906	chr1-198	   84.60	+	ENSG00000121774	KHDRBS1	3'UTR|intron	3'UTR	3'UTR	2	0.0002392466	3	3	3	3	2	2	0	1	2	4	0	1	0	1	0	4	29	0	9.92308e-06	9.535943e-06	0	0	1.707971e-05	1.49363e-05
chr1	 32176335	 32176355	chr1-1944	   21.60	+	ENSG00000025800	KPNA6	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.0001076486	2	3	3	3	2	2	0	1	1	3	1	1	0	0	2	3	27	0	0	3.814377e-06	0	3.563538e-05	8.539856e-06	0
chr1	 32196009	 32196029	chr1-78	  161.30	+	ENSG00000084652	TXLNA	3'UTR|Other	3'UTR	3'UTR	2	0.0005857333	3	3	3	3	2	2	1	1	2	3	1	2	1	0	2	3	32	0	4.96154e-06	0	7.891147e-05	7.127076e-05	0	0
chr1	 32197833	 32197853	chr1-123	  116.80	+	ENSG00000084652	TXLNA	3'UTR|Other	3'UTR	3'UTR	2	0.0004458262	3	3	3	3	2	2	1	1	1	3	2	1	0	1	2	4	32	0	3.307693e-06	1.907189e-06	3.38192e-05	7.127076e-05	0	0
chr1	 32333899	 32333919	chr1-7	  915.80	-	ENSG00000175130	MARCKSL1	3'UTR	3'UTR	3'UTR	1	0.002310796	3	3	3	3	2	2	2	2	1	4	2	3	1	3	2	5	41	0	2.976924e-05	5.721566e-05	0.0001465499	0	4.269928e-05	5.974519e-05
chr1	 32334225	 32334245	chr1-395	   67.40	-	ENSG00000175130	MARCKSL1	3'UTR	3'UTR	3'UTR	1	0.0003399644	3	3	3	3	1	1	1	1	1	3	1	0	0	1	0	3	25	0.0001521028	3.307693e-06	0	3.38192e-05	0	0	0
