chr	start	end	name	score	strand	gene	external_gene_name	annotation	finalized_annotation	grouped_annotation	annotation_count	TOTAL_TagCount	Nuc_F_M_BC	Nuc_F_S_BC	Cyto_F_M_BC	Cyto_F_S_BC	NLS_I_M_BC	NLS_I_S_BC	NES_I_M_BC	NES_I_S_BC	G3BP_I_M_BC	G3BP_I_S_BC	NLS_E_M_BC	NLS_E_S_BC	NES_E_M_BC	NES_E_S_BC	G3BP_E_M_BC	G3BP_E_S_BC	TOTAL_BC	G3BP_E_M_1	G3BP_E_M_2	G3BP_E_M_3	G3BP_E_M_4	G3BP_E_M_5	G3BP_E_M_6
chr1	 17408858	 17408878	chr1-316	   92.50	-	ENSG00000179051	RCC2	3'UTR|intron	3'UTR	3'UTR	2	0.0003384223	3	3	3	3	2	2	1	1	0	4	1	2	2	0	3	3	33	0	6.610259e-06	0	0	5.983796e-06	2.118139e-06
chr1	 19218968	 19218988	chr1-201	   87.30	-	ENSG00000127463	EMC1	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.0004436216	3	3	3	3	2	2	1	1	1	3	2	1	0	0	3	2	30	0	0	0	0.0002145002	8.975694e-06	2.118139e-06
chr1	 22091811	 22091831	chr1-4	 1036.60	+	ENSG00000070831	CDC42	3'UTR|Other	3'UTR	3'UTR	2	0.00333069	3	3	3	3	2	2	2	2	2	4	2	4	2	4	4	6	48	0	1.983078e-05	6.775068e-05	0	4.188657e-05	6.142604e-05
chr1	 22092008	 22092028	chr1-526	   48.50	+	ENSG00000070831	CDC42	3'UTR	3'UTR	3'UTR	1	0.0003458789	2	3	3	3	2	2	1	1	2	4	2	1	0	2	3	5	36	0	1.983078e-05	0	0	5.983796e-06	4.236278e-06
chr1	 23977852	 23977872	chr1-304	   71.80	-	ENSG00000188529	SRSF10	downstream 10K|intron	intron	intron	2	0.0003574017	3	3	3	2	2	2	2	2	2	4	3	3	0	0	4	1	36	0	1.322052e-05	6.775068e-05	0	1.795139e-05	1.05907e-05
chr1	 24672754	 24672774	chr1-937	   80.70	+	ENSG00000133226	SRRM1	3'UTR	3'UTR	3'UTR	1	0.0003775743	3	3	3	3	2	2	1	1	1	3	2	1	2	0	3	4	34	0	1.322052e-05	0	0	5.983796e-06	1.05907e-06
chr1	 24672984	 24673004	chr1-12	  415.60	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.001487854	3	3	3	3	2	2	2	2	3	4	4	3	3	3	3	6	49	0	1.322052e-05	0	0	1.495949e-05	2.753581e-05
chr1	 24673200	 24673220	chr1-56	  152.50	+	ENSG00000133226	SRRM1	3'UTR|Other	3'UTR	3'UTR	2	0.0006324224	3	3	3	3	2	2	1	1	2	4	3	2	2	0	3	4	38	0	1.983078e-05	0	0	2.692708e-05	1.37679e-05
chr1	 26475252	 26475272	chr1-3	 1345.50	+	ENSG00000198830	HMGN2	3'UTR|Other	3'UTR	3'UTR	2	0.004038086	3	3	3	3	2	2	2	2	3	4	4	3	2	4	4	7	51	0	1.983078e-05	6.775068e-05	0	8.676504e-05	7.30758e-05
chr1	 31259740	 31259760	chr1-175	   97.40	-	ENSG00000060688	SNRNP40	3'UTR	3'UTR	3'UTR	1	0.0004351367	3	3	3	3	2	1	1	0	1	3	1	2	1	1	3	2	30	0	0	6.775068e-05	0	2.991898e-06	2.118139e-06
chr1	 31259792	 31259812	chr1-163	  167.50	-	ENSG00000060688	SNRNP40	3'UTR	3'UTR	3'UTR	1	0.0007094278	3	3	3	3	2	2	2	1	2	4	2	4	0	2	3	5	41	0	0	6.775068e-05	0	2.991898e-06	5.295348e-06
chr1	 31907984	 31908004	chr1-50	  237.10	-	ENSG00000184007	PTP4A2	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.0007516928	3	3	3	3	2	2	2	1	2	4	0	1	1	3	3	6	39	0	6.610259e-06	0	0	5.983796e-06	6.354418e-06
chr1	 31919439	 31919459	chr1-143	   89.50	-	ENSG00000184007	PTP4A2	5'UTR|intron|lncRNA	5'UTR	5'UTR	3	0.000589507	3	3	3	3	2	2	1	1	2	3	0	2	2	1	3	5	36	0	1.322052e-05	0	0	8.975694e-06	2.118139e-06
chr1	 32680371	 32680391	chr1-38	  279.90	+	ENSG00000162521	RBBP4	3'UTR|intron|Other	3'UTR	3'UTR	3	0.001022869	3	3	3	3	2	2	1	2	3	4	1	3	1	3	4	4	42	0	6.610259e-06	6.775068e-05	0	2.393518e-05	1.694511e-05
chr1	 32680523	 32680543	chr1-71	  252.50	+	ENSG00000162521	RBBP4	3'UTR|CDS|intron	3'UTR	3'UTR	3	0.0008561527	3	3	3	3	2	2	1	2	1	3	1	2	1	1	3	5	36	0	0	6.775068e-05	0	5.983796e-06	5.295348e-06
chr1	 33299361	 33299381	chr1-55	  245.90	+	ENSG00000160094	ZNF362	3'UTR|Other	3'UTR	3'UTR	2	0.0008549727	3	3	3	3	2	2	2	1	3	4	2	4	1	0	3	3	39	0	0	6.775068e-05	0	2.393518e-05	1.694511e-05
chr1	 35183662	 35183682	chr1-138	  250.80	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.0007289485	3	3	3	3	2	2	2	1	3	3	1	2	1	3	3	5	40	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr1	 35184134	 35184154	chr1-6	 1494.00	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.004374837	3	3	3	3	2	2	2	2	2	4	4	3	2	4	4	6	49	0	5.288207e-05	0.000203252	0	3.889467e-05	4.765813e-05
chr1	 35184222	 35184242	chr1-11	  642.60	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.002480825	3	3	3	3	2	2	2	2	2	4	3	4	2	2	4	6	47	0	1.322052e-05	0.0001355014	0	1.196759e-05	9.531626e-06
chr1	 35184330	 35184350	chr1-79	  312.00	-	ENSG00000116560	SFPQ	3'UTR|intron	3'UTR	3'UTR	2	0.001463271	3	3	3	3	2	2	2	1	3	5	2	3	2	3	3	7	47	0	6.610259e-06	0	0	5.983796e-06	1.05907e-05
chr1	 35926957	 35926977	chr1-133	  212.40	+	ENSG00000092847	AGO1	3'UTR|Other	3'UTR	3'UTR	2	0.0008124525	3	3	3	3	2	2	1	2	2	3	0	2	1	2	3	4	36	0	0	6.775068e-05	0	3.590278e-05	9.531626e-06
chr1	 36305033	 36305053	chr1-151	  121.60	+	ENSG00000054118	THRAP3	3'UTR	3'UTR	3'UTR	1	0.0004815188	3	3	3	3	2	2	1	1	2	3	2	3	0	2	3	4	37	0	6.610259e-06	0	0	2.991898e-06	7.413487e-06
chr1	 45511238	 45511258	chr1-17	  493.20	-	ENSG00000117450	PRDX1	3'UTR	3'UTR	3'UTR	1	0.001531877	3	3	3	3	2	2	2	1	2	5	1	3	2	1	4	5	42	0	6.610259e-06	6.775068e-05	0	1.495949e-05	6.354418e-06
chr1	 46045628	 46045648	chr1-17006	    4.41	-	ENSG00000117461	PIK3R3	intron	intron	intron	1	2.405667e-05	0	0	0	1	1	1	0	0	0	0	0	0	0	1	3	1	8	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr1	 47376903	 47376923	chr1-15	  608.20	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.001818326	3	3	3	3	2	2	2	1	3	5	2	2	3	3	3	5	45	0	0	6.775068e-05	0	1.196759e-05	8.472557e-06
chr1	 47377615	 47377635	chr1-26	  325.70	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.000971491	3	3	3	3	2	2	2	2	1	5	1	3	0	3	3	4	40	0	2.644104e-05	0	0	2.393518e-05	1.05907e-05
chr1	 47377825	 47377845	chr1-136	  131.80	+	ENSG00000162368	CMPK1	3'UTR|intron	3'UTR	3'UTR	2	0.0005159077	0	3	3	3	2	2	1	1	2	3	1	1	2	1	3	5	33	0	6.610259e-06	0	0	1.196759e-05	1.05907e-06
chr1	 51355699	 51355719	chr1-43	  211.50	-	ENSG00000085832	EPS15	3'UTR	3'UTR	3'UTR	1	0.0006682781	3	3	3	3	1	2	1	1	2	4	1	2	0	1	3	4	34	0	6.610259e-06	0	0	3.291088e-05	8.472557e-06
chr1	 51356496	 51356516	chr1-19	  324.40	-	ENSG00000085832	EPS15	3'UTR	3'UTR	3'UTR	1	0.001127248	3	3	3	3	2	2	2	1	2	4	1	3	2	0	3	6	40	0	6.610259e-05	0	0	3.590278e-05	1.37679e-05
chr1	 53766445	 53766465	chr1-141	  156.90	-	ENSG00000058804	NDC1	3'UTR	3'UTR	3'UTR	1	0.0004061286	3	3	3	3	2	2	1	2	2	3	0	2	0	1	3	4	34	0	6.610259e-06	0	0	5.983796e-06	2.118139e-06
chr1	 59873374	 59873394	chr1-319	   73.60	+	ENSG00000134709	HOOK1	3'UTR	3'UTR	3'UTR	1	0.0002631442	2	3	3	3	2	2	1	2	2	4	0	2	1	0	3	2	32	0	0	6.775068e-05	0	2.991898e-06	4.236278e-06
chr1	 67000296	 67000316	chr1-1850	   19.80	-	ENSG00000116704	SLC35D1	3'UTR	3'UTR	3'UTR	1	8.122244e-05	1	3	2	3	0	0	0	0	0	0	0	2	0	1	3	2	17	0	6.610259e-06	0	0	1.196759e-05	2.118139e-06
chr1	 76958710	 76958730	chr1-2854	   26.90	-			unannotated	UnAn	UnAn	1	0.0003362112	3	2	0	1	2	2	1	1	1	1	2	4	0	2	3	0	25	0	0	0	0.0002145002	2.991898e-06	1.05907e-06
chr1	 77697172	 77697192	chr1-712	   45.00	-	ENSG00000077254	USP33	3'UTR	3'UTR	3'UTR	1	0.000277842	3	3	3	3	2	2	0	1	2	3	0	4	0	1	3	3	33	0	0	6.775068e-05	0	5.983796e-06	1.05907e-06
chr1	 77772983	 77773003	chr1-772	   29.50	-				UnAn	UnAn	0	0.0003777963	3	3	3	3	2	2	1	2	1	3	2	1	1	2	3	3	35	0.0001579779	2.644104e-05	0	0	0	2.118139e-06
chr1	 77773603	 77773623	chr1-1209	  189.50	-				UnAn	UnAn	0	0.0007469851	3	3	3	3	2	2	1	2	1	4	1	2	1	4	4	6	42	0	6.610259e-06	6.775068e-05	0	2.094329e-05	2.012232e-05
chr1	 83133251	 83133271	chr1-574	   59.50	-			unannotated	UnAn	UnAn	1	0.0001483297	3	3	3	3	2	2	1	2	1	4	0	1	0	1	3	0	29	0	6.610259e-06	0	0	5.983796e-06	1.05907e-06
chr1	 86954041	 86954061	chr1-960	   35.30	+	ENSG00000153936	HS2ST1	intron|Other	Other	Other	2	0.0004518277	0	1	2	1	1	1	0	0	1	2	1	2	0	2	4	3	21	0.0001579779	1.322052e-05	0	0	2.991898e-06	2.118139e-06
chr1	 89935859	 89935879	chr1-87	  297.00	+	ENSG00000171492	LRRC8D	3'UTR	3'UTR	3'UTR	1	0.0008442989	3	3	3	3	2	2	1	1	3	5	0	2	1	2	3	5	39	0	6.610259e-06	0	0	8.975694e-06	1.800418e-05
chr1	 90029299	 90029319	chr1-125	  115.50	+	ENSG00000162664	ZNF326	3'UTR	3'UTR	3'UTR	1	0.0002672816	3	3	3	3	2	1	1	1	2	3	0	0	0	1	3	2	28	0	6.610259e-06	0	0	1.495949e-05	3.177209e-06
chr1	 91387274	 91387294	chr1-273	   66.10	-	ENSG00000162669	HFM1	intron|CDS_Retained_intron	CDS_RI	intron	2	0.0004194273	3	3	3	3	2	2	2	2	1	3	3	2	1	2	3	3	38	0	1.322052e-05	0	0	1.196759e-05	2.118139e-06
chr1	 92074304	 92074324	chr1-451	   71.00	-				UnAn	UnAn	0	0.0002748694	3	3	3	3	2	1	1	1	2	3	1	1	0	0	3	4	31	0	1.983078e-05	0	0	2.991898e-06	1.05907e-06
chr1	 94518376	 94518396	chr1-9	  760.70	+	ENSG00000117528	ABCD3	3'UTR	3'UTR	3'UTR	1	0.002615808	3	3	3	3	2	2	2	1	2	4	3	3	2	4	4	6	47	0.0001579779	3.966155e-05	0	0	1.795139e-05	1.588604e-05
chr1	 94897349	 94897369	chr1-1	 1901.70	-	ENSG00000117519	CNN3	3'UTR	3'UTR	3'UTR	1	0.006841734	3	3	3	3	2	2	2	2	3	5	4	4	2	4	5	5	52	0	3.30513e-05	6.775068e-05	0.0002145002	3.590278e-05	4.977627e-05
chr1	100084125	100084145	chr1-82	  148.50	-	ENSG00000156876	SASS6	3'UTR|intron|lncRNA	3'UTR	3'UTR	3	0.0006685067	3	3	3	3	2	2	1	2	2	5	2	1	0	0	3	4	36	0.0001579779	6.610259e-06	0	0	0	8.472557e-06
chr1	100975851	100975871	chr1-21	  419.60	+	ENSG00000162695	SLC30A7	3'UTR|Other	3'UTR	3'UTR	2	0.001310291	3	3	3	3	2	2	1	2	2	4	2	2	0	2	4	5	40	0	5.949233e-05	6.775068e-05	0	7.180555e-05	8.472557e-06
chr1	100975978	100975998	chr1-858	   41.90	+	ENSG00000162695	SLC30A7	3'UTR	3'UTR	3'UTR	1	0.0001199679	3	3	3	3	1	1	1	0	1	3	0	1	0	0	3	3	26	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr1	107570827	107570847	chr1-909	  188.60	-			downstream 10K	DS10K	DS10K	1	0.001731049	2	2	3	3	1	2	1	1	2	1	2	2	2	2	4	5	35	0.0003159558	3.966155e-05	0	0	3.889467e-05	0.0001048479
chr1	109312494	109312514	chr1-52	  184.70	-	ENSG00000134243	SORT1	3'UTR	3'UTR	3'UTR	1	0.0006869459	3	3	3	3	2	2	1	1	3	3	1	2	1	2	3	5	38	0	1.983078e-05	0	0	8.975694e-06	3.177209e-06
chr1	110342462	110342482	chr1-173	  110.20	+	ENSG00000162775	RBM15	3'UTR|intron	3'UTR	3'UTR	2	0.0004288431	3	3	3	3	2	2	1	2	2	3	2	3	1	1	3	3	37	0	6.610259e-06	0	0	2.991898e-06	5.295348e-06
chr1	110343528	110343548	chr1-88	  204.90	+	ENSG00000162775	RBM15	downstream 10K|intron	intron	intron	2	0.0008274893	3	3	3	3	2	2	1	1	3	4	1	3	0	0	3	5	37	0	6.610259e-06	6.775068e-05	0	2.991898e-06	0
chr1	112670380	112670400	chr1-8	  637.70	+	ENSG00000116489	CAPZA1	3'UTR|Other	3'UTR	3'UTR	2	0.002941069	3	3	3	3	2	2	1	2	3	5	4	4	2	4	3	7	51	0	3.30513e-05	0	0	5.983796e-05	2.753581e-05
chr1	112671506	112671526	chr1-1205	   62.10	+	ENSG00000116489	CAPZA1	3'UTR	3'UTR	3'UTR	1	0.0002038931	2	3	3	3	2	2	1	1	2	3	0	0	0	0	4	2	28	0	1.322052e-05	6.775068e-05	0	2.991898e-06	4.236278e-06
chr1	112912788	112912808	chr1-25	  317.30	-	ENSG00000155380	SLC16A1	3'UTR	3'UTR	3'UTR	1	0.000854886	3	3	3	3	2	2	1	2	2	4	2	2	1	1	3	3	37	0	6.610259e-06	0	0	1.495949e-05	2.753581e-05
chr1	113977251	113977271	chr1-32	  264.00	+	ENSG00000163349	HIPK1	3'UTR	3'UTR	3'UTR	1	0.001069913	3	3	3	3	2	2	1	2	2	4	1	2	1	1	3	5	38	0	0	0	0.0002145002	1.196759e-05	5.295348e-06
chr1	114707659	114707679	chr1-40	  251.60	-	ENSG00000213281	NRAS	3'UTR	3'UTR	3'UTR	1	0.0007960179	3	3	3	3	2	2	1	1	1	3	1	0	1	1	3	5	33	0	6.610259e-06	0	0	8.975694e-06	2.118139e-06
chr1	114773264	114773284	chr1-70	  148.10	-	ENSG00000052723	SIKE1	3'UTR	3'UTR	3'UTR	1	0.0005836704	3	3	3	3	2	2	2	1	2	5	1	2	2	2	3	2	38	0	6.610259e-06	0	0	1.196759e-05	1.05907e-05
chr1	117855650	117855670	chr1-469	   61.30	-			downstream 10K	DS10K	DS10K	1	0.0005663063	3	3	3	3	2	2	1	1	2	3	2	2	1	0	4	4	36	0	0	6.775068e-05	0.0002145002	2.991898e-06	2.118139e-06
chr1	119912524	119912544	chr1-812	   48.90	-	ENSG00000134250	NOTCH2	3'UTR	3'UTR	3'UTR	1	0.0003369611	2	3	3	3	2	2	2	1	2	4	2	1	0	0	3	4	34	0	0	6.775068e-05	0	5.983796e-06	1.05907e-06
chr1	143729537	143729557	chr1-752	   58.20	-	ENSG00000206737	RNVU1-18	snRNA	snRNA	ncRNA	1	0.0006882871	3	3	3	2	2	2	2	2	1	4	4	3	1	4	4	1	41	0	0	6.775068e-05	0.0002145002	2.991898e-06	1.05907e-06
chr1	144443229	144443249	chr1-1455	   29.10	+				UnAn	UnAn	0	0.0001495734	1	0	3	2	1	2	0	0	2	2	1	1	0	1	3	2	21	0	1.322052e-05	0	0	5.983796e-06	2.118139e-06
chr1	145287815	145287835	chr1-4325	   25.60	+			tRNA	tRNA	ncRNA	1	0.000910248	3	3	3	3	2	2	1	1	1	4	2	3	3	4	3	4	42	0	0	0	0.0002145002	2.991898e-06	1.05907e-06
chr1	146957020	146957040	chr1-1862	   26.00	-				UnAn	UnAn	0	7.930276e-05	2	2	2	3	1	1	0	0	1	2	1	1	0	0	3	2	21	0	6.610259e-06	0	0	5.983796e-06	2.118139e-06
chr1	150220164	150220184	chr1-58	  214.20	-	ENSG00000143401	ANP32E	3'UTR	3'UTR	3'UTR	1	0.00120601	3	3	3	3	2	2	1	1	3	5	2	3	0	2	3	4	40	0	1.983078e-05	0	0	5.983796e-06	6.354418e-06
chr1	151982944	151982964	chr1-663	   49.80	-	ENSG00000197747	S100A10	3'UTR	3'UTR	3'UTR	1	0.0002054535	2	3	3	3	2	2	1	1	1	3	1	1	0	0	3	2	28	0	6.610259e-06	6.775068e-05	0	0	2.118139e-06
chr1	153808782	153808802	chr1-16	  356.50	-	ENSG00000143614	GATAD2B	3'UTR|intron	3'UTR	3'UTR	2	0.001061525	3	3	3	3	2	2	2	1	1	4	3	3	1	3	3	4	41	0	1.322052e-05	0	0	2.094329e-05	4.765813e-05
chr1	154156974	154156994	chr1-5	 1459.20	-	ENSG00000143549	TPM3	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.00388293	3	3	3	3	2	2	2	2	2	5	3	3	2	4	5	6	50	0.0001579779	3.966155e-05	6.775068e-05	0	1.495949e-05	2.753581e-05
chr1	156800774	156800794	chr1-28	  615.70	+	ENSG00000143294	PRCC	3'UTR|CDS_Retained_intron	3'UTR	3'UTR	2	0.001932885	3	3	3	3	2	2	1	1	2	5	1	2	0	2	4	4	38	0.0003159558	0	0	0.0002145002	5.983796e-06	1.164977e-05
chr1	160671581	160671601	chr1-100	  145.40	+	ENSG00000228863		intron|lncRNA	lncRNA	ncRNA	2	0.0004722866	3	3	3	3	2	2	0	2	2	4	1	1	1	1	3	5	36	0	1.983078e-05	0	0	2.991898e-06	9.531626e-06
chr1	160896274	160896294	chr1-332	   60.80	+				UnAn	UnAn	0	0.0002494504	2	3	3	3	2	2	1	1	1	3	2	2	2	0	3	3	33	0	2.644104e-05	0	0	5.983796e-06	3.177209e-06
chr1	165727588	165727608	chr1-31	  493.20	-	ENSG00000143183	TMCO1	3'UTR	3'UTR	3'UTR	1	0.002155436	3	3	3	3	2	2	1	2	4	4	4	3	1	3	5	5	48	0	1.322052e-05	6.775068e-05	0.0004290004	8.975694e-06	1.694511e-05
chr1	166714981	166715001	chr1-6369	   36.60	+			TE|TE|unannotated	TE	TE	3	0.0001935249	0	0	0	0	2	2	2	0	3	2	2	1	1	2	3	2	22	0	6.610259e-06	0	0	5.983796e-06	2.118139e-06
chr1	168245580	168245600	chr1-13	  336.30	+	ENSG00000213064	SFT2D2	3'UTR|TE	3'UTR	3'UTR	2	0.0010928	3	3	3	3	2	2	1	2	2	4	2	2	2	2	3	4	40	0	1.983078e-05	0	0	4.787037e-05	5.718976e-05
chr1	168251727	168251747	chr1-1707	   25.10	+	ENSG00000213064	SFT2D2	3'UTR	3'UTR	3'UTR	1	0.0001487679	1	2	3	3	2	2	0	1	2	3	0	1	0	2	3	2	27	0	6.610259e-06	0	0	2.991898e-06	2.118139e-06
chr1	168528476	168528496	chr1-1971	   20.30	+			TE|unannotated	TE	TE	2	6.088135e-05	3	3	3	3	2	2	1	0	0	3	0	2	0	0	3	0	25	0	6.610259e-06	0	0	2.991898e-06	2.118139e-06
chr1	169132047	169132067	chr1-24	  421.30	+	ENSG00000143153	ATP1B1	3'UTR|intron|Other|CDS_Retained_intron	3'UTR	3'UTR	4	0.001755632	3	3	3	3	2	2	2	1	2	4	3	1	2	2	5	5	43	0	4.627181e-05	6.775068e-05	0.0002145002	1.795139e-05	2.118139e-06
chr1	169132187	169132207	chr1-204	  133.50	+	ENSG00000143153	ATP1B1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.0005988817	3	3	3	3	2	2	1	1	3	3	2	2	2	2	3	5	40	0	2.644104e-05	0	0	2.991898e-06	2.118139e-06
chr1	169132491	169132511	chr1-18	  706.90	+	ENSG00000143153	ATP1B1	3'UTR|intron|CDS_Retained_intron	3'UTR	3'UTR	3	0.001974767	3	3	3	3	2	2	1	2	2	5	4	3	1	2	3	5	44	0	3.966155e-05	0	0	2.991898e-05	8.472557e-06
chr1	171592733	171592753	chr1-107	  117.20	+	ENSG00000117523	PRRC2C	3'UTR	3'UTR	3'UTR	1	0.0007955675	3	3	3	3	2	2	1	1	2	4	0	2	0	2	3	5	36	0	6.610259e-06	0	0	2.991898e-06	5.295348e-06
chr1	171670279	171670299	chr1-161	  158.70	-				UnAn	UnAn	0	0.0005316037	2	3	3	3	1	2	1	0	1	3	1	2	0	1	3	4	30	0	3.966155e-05	0	0	1.495949e-05	4.236278e-06
chr1	171763058	171763078	chr1-5848	  101.80	+				UnAn	UnAn	0	0.0002741531	2	3	3	3	0	2	1	0	1	4	0	0	0	1	3	2	25	0	0	6.775068e-05	0	8.975694e-06	3.177209e-06
chr1	173488360	173488380	chr1-728	   42.70	+	ENSG00000117592	PRDX6	3'UTR	3'UTR	3'UTR	1	0.0001157281	2	3	3	3	0	1	1	1	1	3	0	0	0	0	3	1	22	0	1.983078e-05	0	0	2.991898e-06	1.05907e-06
chr1	173865358	173865378	chr1-51	  574.70	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.002773424	3	3	3	3	2	2	2	2	3	4	4	4	2	3	3	2	45	0	6.610259e-06	0	0	3.291088e-05	2.118139e-06
chr1	173867693	173867713	chr1-312	  188.60	-	ENSG00000234741	GAS5	intron|lncRNA|ncRNA_Retained_intron	lncRNA	ncRNA	3	0.001060919	3	3	1	0	2	2	2	2	3	4	3	4	3	3	3	1	39	0	0	6.775068e-05	0	1.196759e-05	1.05907e-06
chr1	179184917	179184937	chr1-611	   59.90	+				UnAn	UnAn	0	0.0001642543	2	3	3	3	2	1	0	0	0	2	0	1	1	0	3	3	24	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
chr1	179844851	179844871	chr1-2361	   19.40	-	ENSG00000169905	TOR1AIP2	3'UTR	3'UTR	3'UTR	1	6.520495e-05	3	3	3	3	1	1	1	0	1	3	0	0	0	0	3	0	22	0	6.610259e-06	0	0	5.983796e-06	1.05907e-06
chr1	180531486	180531506	chr1-5908	   11.00	+	ENSG00000236719	OVAAL	intron|Other|lncRNA	lncRNA	ncRNA	3	0.0002231497	0	0	1	1	1	1	0	0	1	1	0	1	0	1	3	2	13	0.0001579779	2.644104e-05	0	0	0	1.05907e-06
chr1	182382982	182383002	chr1-153	  206.30	-	ENSG00000135821	GLUL	3'UTR	3'UTR	3'UTR	1	0.0007447186	3	3	3	3	2	2	1	2	2	4	3	2	0	1	3	4	38	0	1.322052e-05	6.775068e-05	0	0	1.05907e-06
chr1	183627175	183627195	chr1-155	  119.00	-	ENSG00000162704	ARPC5	3'UTR|intron	3'UTR	3'UTR	2	0.0004575901	3	3	3	3	2	2	1	2	2	4	1	3	1	2	3	4	39	0	6.610259e-06	0	0	2.991898e-06	1.05907e-06
