U,H,P,transcript
0.18715,0.22651,0.31032,MYC
0.18987,0.2526,0.25782,MYC
0.23806,0.0986,0.25256,MYC
0.24863,0.08493,0.24089,MYC
0.24144,0.07931,0.23825,MYC
0.25986,0.12659,0.25397,MYC
0.24268,0.09686,0.27594,MYC
0.3184,0.14102,0.32907,MYC
0.37622,0.21535,0.36044,MYC
0.64103,0.60614,0.7774,MYC
0.63763,0.61129,0.77974,MYC
0.64344,0.61571,0.78176,MYC
0.64582,0.61639,0.78254,MYC
0.64236,0.61636,0.77401,MYC
0.65537,0.61844,0.7871,MYC
0.66043,0.62816,0.79073,MYC
0.32187,0.24457,0.24675,MYC
0.57646,0.4783,0.71376,MYC
0.67561,0.61863,0.79797,MYC
0.67567,0.62863,0.79552,MYC
0.67782,0.63715,0.79567,MYC
0.71924,0.68828,0.8128,MYC
0.3535,0.39518,0.41301,MYC
0.40385,0.41532,0.39985,MYC
0.3601,-0.06116,0.19855,MYL6
0.32864,-0.05121,0.29317,MYL6
0.18356,-0.13288,0.16594,MYL6
0.13384,-0.08578,0.13455,MYL6
0.11265,-0.10722,0.11999,MYL6
0.14333,-0.10068,0.09609,MYL6
0.14277,-0.08999,0.10234,MYL6
0.13686,-0.10064,0.10202,MYL6
0.13552,-0.10793,0.09635,MYL6
0.05926,-0.19053,0.08765,MYL6
-0.03404,-0.16176,0.09502,MYL6
0.00846,-0.15497,0.08787,MYL6
0.34174,0.52745,0.42013,MYL6
0.34121,0.5154,0.41737,MYL6
0.34049,0.52342,0.40408,MYL6
0.31724,0.46008,0.38891,MYL6
0.31482,0.46486,0.37818,MYL6
0.38292,0.46557,0.29126,MYL6
0.32631,0.37128,0.28169,MYL6
0.29679,0.35613,0.17437,MYL6
0.2756,0.35557,0.1668,MYL6
0.26888,0.35411,0.17336,MYL6
0.15076,0.21931,0.21118,MYL6
0.1755,0.20555,0.22391,MYL6
0.17401,0.28059,0.07421,MYL6
0.15459,0.11262,0.0843,MYL6
0.17951,0.15167,0.1035,MYL6
0.17307,0.15585,0.07891,MYL6
0.192,0.1647,0.16691,MYL6
0.50631,0.4113,0.39209,MYL6
0.51145,0.43499,0.39267,MYL6
0.49749,0.4557,0.40054,MYL6
0.49208,0.45095,0.40518,MYL6
0.46698,0.42219,0.39106,MYL6
0.45484,0.40334,0.3853,MYL6
0.17562,0.19233,0.2178,MYL6
0.20577,0.20751,0.24868,MYL6
0.19589,0.18105,0.1634,MYL6
0.30569,0.40204,0.08819,MYL6
0.27978,0.35105,0.0902,MYL6
0.29812,0.36099,0.1061,MYL6
0.26285,0.29652,0.06469,MYL6
0.29035,0.34629,0.16874,MYL6
0.28659,0.34017,0.12916,MYL6
0.31293,0.35069,0.14107,MYL6
0.29903,0.32791,0.12175,MYL6
0.36253,0.51026,0.37749,MYL6
0.26643,0.25343,0.37281,NF1
0.21289,0.27568,0.18716,NF1
0.3676,0.51772,0.48993,NF1
0.45364,0.51272,0.54307,NF1
0.44584,0.50487,0.53815,NF1
0.44497,0.50233,0.52682,NF1
0.44961,0.50845,0.50123,NF1
0.43967,0.50332,0.48843,NF1
0.47067,0.52231,0.52878,NF1
0.46753,0.53028,0.54514,NF1
0.46474,0.52577,0.54434,NF1
0.17076,0.14206,0.13331,NF1
0.39975,0.27292,0.43298,NF1
0.40133,0.27544,0.43195,NF1
0.35326,0.24253,0.41162,NF1
0.33398,0.25012,0.43286,NF1
0.31755,0.24965,0.42015,NF1
0.3326,0.26255,0.43651,NF1
0.34709,0.27385,0.43348,NF1
0.44162,0.48606,0.47368,NF1
0.44525,0.49584,0.44727,NF1
0.43768,0.48793,0.41273,NF1
0.43973,0.49287,0.41463,NF1
0.44114,0.49303,0.40318,NF1
0.44992,0.50019,0.42404,NF1
0.44675,0.49708,0.42044,NF1
0.43605,0.49863,0.43483,NF1
0.43111,0.49929,0.4363,NF1
0.35605,0.39415,0.3281,NF1
0.39617,0.38264,0.40092,NF1
0.33681,0.28333,0.40098,NF1
0.32897,0.28061,0.36793,NF1
0.35784,0.28126,0.34445,NF1
0.37917,0.28718,0.35836,NF1
0.37084,0.26202,0.34602,NF1
0.33529,0.16916,0.19163,NF1
0.32684,0.11188,0.26137,NF1
0.50587,0.39445,0.50369,NF1
0.53028,0.50257,0.51662,NF1
0.5205,0.50691,0.51733,NF1
0.51297,0.52095,0.5649,NF1
0.56496,0.58998,0.60263,NF1
0.55272,0.57774,0.55494,NF1
0.4361,0.34169,0.36708,NF1
0.43251,0.34849,0.36467,NF1
0.43579,0.34714,0.38395,NF1
0.05019,0.35213,0.14195,NF1
0.03761,0.35545,0.17645,NF1
0.04678,0.39423,0.1986,NF1
0.08728,0.42986,0.1964,NF1
0.04784,0.47314,0.12213,NF1
0.34125,0.20974,0.51654,NF1
0.46232,0.42239,0.50348,NF1
0.45935,0.4188,0.50709,NF1
0.48658,0.45283,0.50975,NF1
0.49645,0.44332,0.51167,NF1
0.46416,0.42261,0.47033,NF1
0.23806,0.14898,0.1435,NF1
0.18966,0.14562,0.12111,NF1
0.15416,0.1454,0.10082,NF1
0.15558,0.09862,0.0669,NF1
0.16235,0.11997,0.17291,NF1
0.17867,0.13444,0.16183,NF1
0.21575,0.27342,0.25785,NF1
0.20785,0.30778,0.26025,NF1
0.22481,0.29468,0.2644,NF1
0.23177,0.33911,0.2733,NF1
0.24004,0.35428,0.2758,NF1
0.22337,0.36563,0.2736,NF1
0.233,0.3569,0.28423,NF1
0.22164,0.29835,0.26656,NF1
0.43461,0.425,0.41976,NF1
0.41538,0.3942,0.38635,NF1
0.42486,0.39279,0.42793,NF1
0.42079,0.39151,0.41339,NF1
0.43187,0.4122,0.41575,NF1
0.47843,0.44183,0.41226,NF1
0.49408,0.45079,0.41357,NF1
0.54732,0.49512,0.43035,NF1
0.56195,0.49652,0.43144,NF1
0.54886,0.49088,0.42546,NF1
0.33782,0.40072,0.42407,NF1
0.34487,0.38093,0.4261,NF1
0.34421,0.3607,0.42148,NF1
0.3606,0.34664,0.41942,NF1
0.34387,0.33398,0.42418,NF1
0.34633,0.34447,0.42499,NF1
0.3929,0.37077,0.46465,NF1
0.38452,0.37123,0.49221,NF1
0.30267,0.34353,0.46011,NF1
0.33633,0.34407,0.4068,NF1
0.33774,0.32531,0.41351,NF1
0.38013,0.44578,0.47535,NF1
0.26013,0.41018,0.39511,NF1
0.24444,0.39566,0.42654,NF1
0.14836,0.49372,0.5008,NF1
0.17368,0.48895,0.5293,NF1
0.11837,0.3729,0.39991,NF1
0.08824,0.32981,0.24374,NF1
0.23347,0.31653,0.35421,NF1
0.30488,0.25529,0.452,NF1
0.33779,0.49741,0.52422,PAPD4
0.35523,0.47539,0.47396,PAPD4
0.37475,0.36575,0.49959,PAPD4
0.34916,0.34956,0.48733,PAPD4
0.24147,0.31835,0.29631,PAPD4
0.38359,0.46189,0.36667,PAPD4
0.39315,0.47737,0.36046,PAPD4
0.43763,0.51039,0.40582,PAPD4
0.44749,0.51037,0.39357,PAPD4
0.6565,0.5687,0.71594,PAPD4
0.58308,0.46867,0.69375,PAPD4
0.55091,0.46431,0.63814,PAPD4
0.56252,0.48191,0.65666,PAPD4
0.59305,0.53436,0.6955,PAPD4
0.58438,0.53353,0.69596,PAPD4
0.32071,0.32558,0.27254,PAPD4
0.17021,0.22697,0.19345,PAPD4
0.42728,0.26091,0.40696,PAPD4
0.46324,0.26194,0.41506,PAPD4
0.46264,0.24372,0.39772,PAPD4
0.48604,0.37705,0.55132,PAPD4
0.54579,0.45447,0.5898,PAPD4
0.55809,0.47515,0.59892,PAPD4
0.61509,0.48454,0.64715,PAPD4
0.59798,0.4484,0.64379,PAPD4
0.59774,0.47455,0.67848,PAPD4
0.51401,0.44236,0.64434,PAPD4
0.54866,0.52947,0.62486,PAPD4
0.56509,0.47301,0.50693,PAPD4
0.52191,0.38858,0.46575,PAPD4
0.48807,0.37674,0.43792,PAPD4
0.46157,0.31089,0.3973,PAPD4
0.48753,0.40896,0.49597,PAPD4
0.54369,0.42405,0.50643,PAPD4
0.58679,0.52101,0.53508,PAPD4
0.59746,0.52388,0.53331,PAPD4
0.60474000000000006,0.48718,0.5092,PAPD4
0.62555,0.49641,0.50746,PAPD4
0.62483,0.47145,0.54343,PAPD4
0.62608,0.48631,0.54158,PAPD4
0.63065,0.4895,0.57482,PAPD4
0.48832,0.36753,0.54351,PAPD4
0.18153,0.30521,0.44513,PAPD4
0.20714,0.31169,0.47517,PAPD4
0.31424,0.29305,0.40066,PAPD4
0.29314,0.23731,0.38109,PAPD4
0.28687,0.21026,0.37296,PAPD4
0.28728,0.21821,0.38155,PAPD4
0.22557,0.1609,0.2653,PAPD4
0.21205,0.16277,0.27128,PAPD4
0.20993,0.17724,0.27208,PAPD4
0.32265,0.33094,0.19335,PAPD4
0.36207,0.37498,0.24992,PAPD4
0.39788,0.21379,0.3573,PAPD4
0.35289,0.25557,0.33961,PAPD4
0.26434,0.20661,0.29819,PAPD4
0.17106,0.18666,0.14104,PAPD4
0.17742,0.1848,0.14413,PAPD4
0.31832,0.27131,0.36562,PAPD4
0.31282,0.26717,0.36522,PAPD4
0.39013,0.43622,0.30241,PCBP2
0.35254,0.43849,0.24931,PCBP2
0.32095,0.37543,0.28577,PCBP2
0.32813,0.3803,0.31049,PCBP2
0.44737,0.39637,0.38206,PCBP2
0.2689,0.30711,0.19622,PCBP2
0.29327,0.32454,0.2323,PCBP2
0.25435,0.29214,0.22735,PCBP2
0.59601,0.49147,0.64832,PCBP2
0.56272,0.46555,0.63556,PCBP2
0.56047,0.45758,0.63669,PCBP2
0.5635,0.45935,0.63846,PCBP2
0.59884,0.55591,0.68288,PCBP2
0.61265,0.55028,0.7083,PCBP2
0.18977,0.30476,0.20404,PCBP2
0.29852,0.31387,0.18115,PCBP2
0.38485,0.31099,0.14332,PCBP2
0.77488,0.69497,0.72919,PCBP2
0.77287,0.68855,0.72951,PCBP2
0.7532,0.67836,0.71553,PCBP2
0.72591,0.60625,0.69671,PCBP2
0.6481,0.58118,0.51312,PCBP2
0.324,0.2597,0.24443,PCBP2
0.22167,0.2404,0.28994,PCBP2
0.21444,0.23055,0.26065,PCBP2
0.38216,0.38169,0.35143,PCBP2
0.43939,0.40272,0.34872,PCBP2
0.39648,0.4024,0.26249,PCBP2
0.37952,0.39373,0.26291,PCBP2
0.39861,0.4075,0.27688,PCBP2
0.40575,0.39915,0.27495000000000003,PCBP2
0.41725,0.40113,0.28738,PCBP2
0.35167,0.33781,0.20502,PCBP2
0.33286,0.34262,0.1563,PCBP2
0.40437,0.36109,0.3935,PTBP2
0.3779,0.27246,0.32584,PTBP2
0.35015,0.27111,0.28379,PTBP2
0.2511,0.18442,0.26159,PTBP2
0.26153,0.16296,0.27261,PTBP2
0.49168,0.46059,0.55083,PTBP2
0.5051,0.48602,0.55423,PTBP2
0.49589,0.47805,0.57098,PTBP2
0.59028,0.58822,0.63055,PTBP2
0.57612,0.59461,0.64105,PTBP2
0.61746,0.60442,0.67649,PTBP2
0.45956,0.45689,0.47798,PTBP2
0.47561,0.45959,0.50128,PTBP2
0.42148,0.39961,0.38444,PTBP2
0.40324,0.37582,0.38097,PTBP2
0.38909,0.37591,0.39636,PTBP2
0.37335,0.37017,0.38635,PTBP2
0.18867,0.29306,0.18196,PTBP2
0.18671,0.26801,0.16172,PTBP2
0.2005,0.15402,0.28623,PTBP2
0.22356,0.14681,0.27318,PTBP2
0.359,0.28037,0.39415,PTBP2
0.36776,0.29637,0.37938,PTBP2
0.34315,0.27275,0.3838,PTBP2
0.39125,0.38444,0.51019,PTBP2
0.44778,0.42732,0.50417,PTBP2
0.34187,0.28155,0.48286,PTBP2
0.40334,0.33528,0.48569,PTBP2
0.18978,0.11843,0.39217,PTBP2
0.28251,0.12612,0.37786,PTBP2
0.18008,0.21303,0.37558,PTBP2
0.20977,0.22368,0.35777,PTBP2
0.22705,0.23847,0.32688,PTBP2
0.21484,0.20474,0.33039,PTBP2
0.19882,0.18897,0.30584,PTBP2
0.21531,0.15062999999999999,0.30658,PTBP2
0.234,0.1906,0.32408,PTBP2
0.31563,0.27348,0.37521,PTBP2
0.22584,0.25089,0.30992,PTBP2
0.26778,0.17405,0.36301,PTBP2
0.513,0.45514,0.51007,PTBP2
0.54532,0.4674,0.51196,PTBP2
0.5664,0.41825,0.53539,PTBP2
0.50172,0.41465,0.56913,PTBP2
0.47239,0.32164,0.53208,PTBP2
0.43693,0.41288,0.53623,PTBP2
0.52403,0.50488,0.54557,PTBP2
0.5184,0.49154,0.49965,PTBP2
0.45316,0.44712,0.49702,PTBP2
0.43011,0.43181,0.48636,PTBP2
0.42422,0.40879,0.48839,PTBP2
0.37965,0.37285,0.50128,PTBP2
0.37804,0.40126,0.46811,PTBP2
0.38164,0.38893,0.46371,PTBP2
0.36528,0.3652,0.45796,PTBP2
0.37584,0.37118,0.46603,PTBP2
0.4085,0.40148,0.52522,PTBP2
0.51807,0.42835,0.51814,PTBP2
0.50182,0.41012,0.48252,PTBP2
0.51007,0.42314,0.43732,PTBP2
0.52699,0.43383,0.44593,PTBP2
0.54219,0.45543,0.46957,PTBP2
0.58442,0.5104,0.51656,PTBP2
0.30884,0.43161,0.07236,PTBP2
0.1976,0.34926,0.43268,PTBP2
0.15591,0.21351,0.32211,PTBP2
0.26411,0.28694,0.26525,PTBP2
0.21584,0.28296,0.24723,PTBP2
0.1485,0.38395,0.07394,PTBP2
0.19683,0.35988,0.105,PTBP2
0.24537,0.40019,0.24921,PTBP2
0.37585,0.45437,0.28894,PTBP2
0.39987,0.50807,0.2611,PTBP2
0.41729,0.50637,0.30091,PTBP2
